strategy,auxiliary_target_count,shots,attack,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
cross_cell_12,12,1024,affine_channel_lira,1,0.6028926666666667,0.6028926666666667,0.6028926666666667,0.14733333333333337,0.14733333333333337,0.14733333333333337,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.024333333333333332,0.024333333333333332,0.024333333333333332,0.096,0.096,0.096
cross_cell_12,12,1024,latent_lira_mismatched,1,0.596576,0.596576,0.596576,0.14633333333333337,0.14633333333333337,0.14633333333333337,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.014666666666666666,0.014666666666666666,0.014666666666666666,0.07266666666666666,0.07266666666666666,0.07266666666666666
cross_cell_12,12,1024,loss_mia,1,0.57747,0.57747,0.57747,0.15433333333333332,0.15433333333333332,0.15433333333333332,0.002,0.002,0.002,0.008,0.008,0.008,0.04033333333333333,0.04033333333333333,0.04033333333333333
cross_cell_12,12,128,affine_channel_lira,1,0.5748953333333333,0.5748953333333333,0.5748953333333333,0.11166666666666664,0.11166666666666664,0.11166666666666664,0.006,0.006,0.006,0.022333333333333334,0.022333333333333334,0.022333333333333334,0.08633333333333333,0.08633333333333333,0.08633333333333333
cross_cell_12,12,128,latent_lira_mismatched,1,0.5680675555555555,0.5680675555555555,0.5680675555555555,0.11233333333333331,0.11233333333333331,0.11233333333333331,0.0,0.0,0.0,0.01,0.01,0.01,0.059,0.059,0.059
cross_cell_12,12,128,loss_mia,1,0.5650198888888889,0.5650198888888889,0.5650198888888889,0.12766666666666665,0.12766666666666665,0.12766666666666665,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.009666666666666667,0.009666666666666667,0.009666666666666667,0.047,0.047,0.047
cross_cell_12,12,512,affine_channel_lira,1,0.5956611111111111,0.5956611111111111,0.5956611111111111,0.13800000000000004,0.13800000000000004,0.13800000000000004,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.024666666666666667,0.024666666666666667,0.024666666666666667,0.094,0.094,0.094
cross_cell_12,12,512,latent_lira_mismatched,1,0.588883111111111,0.588883111111111,0.588883111111111,0.13866666666666666,0.13866666666666666,0.13866666666666666,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.014333333333333333,0.014333333333333333,0.014333333333333333,0.07233333333333333,0.07233333333333333,0.07233333333333333
cross_cell_12,12,512,loss_mia,1,0.5756915555555555,0.5756915555555555,0.5756915555555555,0.15066666666666667,0.15066666666666667,0.15066666666666667,0.0006666666666666666,0.0006666666666666666,0.0006666666666666666,0.007333333333333333,0.007333333333333333,0.007333333333333333,0.043,0.043,0.043
cross_cell_2,2,1024,affine_channel_lira,66,0.6014592222222223,0.5976738888888888,0.6048154444444444,0.14683333333333337,0.14116666666666663,0.152,0.003666666666666667,0.0026666666666666666,0.005333333333333333,0.0245,0.020999999999999998,0.02825,0.09633333333333333,0.0905,0.10258333333333333
cross_cell_2,2,1024,latent_lira_mismatched,66,0.596576,0.596576,0.596576,0.14633333333333337,0.14633333333333337,0.14633333333333337,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.014666666666666666,0.014666666666666666,0.014666666666666666,0.07266666666666666,0.07266666666666666,0.07266666666666666
cross_cell_2,2,1024,loss_mia,66,0.57747,0.57747,0.57747,0.15433333333333332,0.15433333333333332,0.15433333333333332,0.002,0.002,0.002,0.008,0.008,0.008,0.04033333333333333,0.04033333333333333,0.04033333333333333
cross_cell_2,2,128,affine_channel_lira,66,0.5737971111111111,0.5713857777777778,0.5757142222222222,0.11200000000000002,0.10775000000000001,0.11649999999999999,0.004666666666666667,0.0020833333333333333,0.006333333333333333,0.022,0.019416666666666665,0.024333333333333332,0.08566666666666667,0.07991666666666666,0.09025
cross_cell_2,2,128,latent_lira_mismatched,66,0.5680675555555555,0.5680675555555555,0.5680675555555555,0.11233333333333331,0.11233333333333331,0.11233333333333331,0.0,0.0,0.0,0.01,0.01,0.01,0.059,0.059,0.059
cross_cell_2,2,128,loss_mia,66,0.5650198888888889,0.5650198888888889,0.5650198888888889,0.12766666666666665,0.12766666666666665,0.12766666666666665,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.009666666666666667,0.009666666666666667,0.009666666666666667,0.047,0.047,0.047
cross_cell_2,2,512,affine_channel_lira,66,0.5944327777777778,0.5896118333333333,0.5973642777777778,0.13700000000000004,0.13208333333333333,0.1406666666666667,0.0033333333333333335,0.0026666666666666666,0.004583333333333333,0.024333333333333332,0.020583333333333335,0.02691666666666667,0.09333333333333332,0.08833333333333333,0.09825
cross_cell_2,2,512,latent_lira_mismatched,66,0.588883111111111,0.588883111111111,0.588883111111111,0.13866666666666666,0.13866666666666666,0.13866666666666666,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.014333333333333333,0.014333333333333333,0.014333333333333333,0.07233333333333333,0.07233333333333333,0.07233333333333333
cross_cell_2,2,512,loss_mia,66,0.5756915555555555,0.5756915555555555,0.5756915555555555,0.15066666666666667,0.15066666666666667,0.15066666666666667,0.0006666666666666666,0.0006666666666666666,0.0006666666666666666,0.007333333333333333,0.007333333333333333,0.007333333333333333,0.043,0.043,0.043
cross_cell_4,4,1024,affine_channel_lira,32,0.6023494444444444,0.5998083333333334,0.6046064333333334,0.14700000000000002,0.14451666666666668,0.15011666666666668,0.003666666666666667,0.002666666666666667,0.004666666666666667,0.024333333333333332,0.021666666666666667,0.02715,0.09766666666666667,0.09433333333333332,0.1023
cross_cell_4,4,1024,latent_lira_mismatched,32,0.596576,0.596576,0.596576,0.14633333333333337,0.14633333333333337,0.14633333333333337,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.014666666666666666,0.014666666666666666,0.014666666666666666,0.07266666666666666,0.07266666666666666,0.07266666666666666
cross_cell_4,4,1024,loss_mia,32,0.57747,0.57747,0.57747,0.15433333333333332,0.15433333333333332,0.15433333333333332,0.002,0.002,0.002,0.008,0.008,0.008,0.04033333333333333,0.04033333333333333,0.04033333333333333
cross_cell_4,4,128,affine_channel_lira,32,0.5748867777777779,0.5737180666666667,0.5755153222222222,0.11150000000000003,0.10803333333333331,0.11481666666666666,0.005333333333333333,0.0037,0.006333333333333333,0.022166666666666668,0.020999999999999998,0.023483333333333332,0.08733333333333333,0.08518333333333333,0.09033333333333333
cross_cell_4,4,128,latent_lira_mismatched,32,0.5680675555555555,0.5680675555555555,0.5680675555555555,0.11233333333333331,0.11233333333333331,0.11233333333333331,0.0,0.0,0.0,0.01,0.01,0.01,0.059,0.059,0.059
