strategy,auxiliary_target_count,subset_replicate,shots,simulator_seed,contrast,comparator_attack,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_12,12,0,1024,0,affine_minus_mismatched_lira,latent_lira_mismatched,0.010903555555555666,-0.001333333333333333,-0.002,0.008
cross_cell_12,12,0,1024,0,affine_minus_loss,loss_mia,0.032824444444444434,0.0013333333333333335,-0.004666666666666666,0.019333333333333334
cross_cell_12,12,0,1024,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.009001333333333417,-0.000666666666666667,-0.001333333333333334,0.006666666666666668
cross_cell_12,12,0,1024,1,affine_minus_loss,loss_mia,0.01971422222222219,0.0006666666666666665,0.0,0.017333333333333333
cross_cell_12,12,0,1024,2,affine_minus_mismatched_lira,latent_lira_mismatched,0.005842222222222193,-0.003333333333333333,0.0,0.008666666666666666
cross_cell_12,12,0,1024,2,affine_minus_loss,loss_mia,0.025713333333333366,0.003333333333333334,-0.005333333333333332,0.017333333333333333
cross_cell_12,12,0,1024,3,affine_minus_mismatched_lira,latent_lira_mismatched,0.004440444444444469,-0.002666666666666667,-0.002,0.014666666666666668
cross_cell_12,12,0,1024,3,affine_minus_loss,loss_mia,0.024760000000000115,0.0006666666666666668,-0.002,0.018000000000000002
cross_cell_12,12,0,1024,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.012091111111110942,0.0013333333333333335,0.002,0.011333333333333334
cross_cell_12,12,0,1024,4,affine_minus_loss,loss_mia,0.02881022222222207,0.002666666666666667,-0.002666666666666666,0.019333333333333334
cross_cell_12,12,0,1024,5,affine_minus_mismatched_lira,latent_lira_mismatched,0.009298666666666677,0.0,-0.0006666666666666678,0.005333333333333332
cross_cell_12,12,0,1024,5,affine_minus_loss,loss_mia,0.02527333333333337,0.0026666666666666666,-0.004,0.016666666666666666
cross_cell_12,12,0,1024,6,affine_minus_mismatched_lira,latent_lira_mismatched,0.012724000000000069,0.0006666666666666661,-0.002,0.008000000000000002
cross_cell_12,12,0,1024,6,affine_minus_loss,loss_mia,0.025148888888888887,0.0026666666666666666,-0.002666666666666668,0.012666666666666668
cross_cell_12,12,0,1024,7,affine_minus_mismatched_lira,latent_lira_mismatched,0.002878666666666585,-0.0013333333333333335,0.002,0.008
cross_cell_12,12,0,1024,7,affine_minus_loss,loss_mia,0.03250933333333328,0.0,-0.002,0.016
cross_cell_12,12,0,1024,8,affine_minus_mismatched_lira,latent_lira_mismatched,0.003600444444444517,-0.000666666666666667,0.001333333333333334,0.006666666666666668
