shots,contrast,treatment_strategy,comparator_strategy,n_replicates,auc_difference_median,auc_difference_q05,auc_difference_q95,actual_fpr_difference_median,actual_fpr_difference_q05,actual_fpr_difference_q95,calibrated_tpr_difference_median,calibrated_tpr_difference_q05,calibrated_tpr_difference_q95
1024,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,10,0.0016121111111111475,0.000936722222222236,0.0018196111111111024,-0.002666666666666666,-0.004066666666666666,-0.002,-0.003166666666666663,-0.004516666666666665,-0.0016333333333333326
1024,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,10,0.0018474444444445126,-0.00073005555555552,0.00324402222222212,0.001333333333333333,-0.001766666666666666,0.0030999999999999977,0.0038333333333333327,0.0014833333333333313,0.006433333333333331
1024,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,10,0.0011303333333332888,0.0006219444444443778,0.0017303888888888785,-0.001666666666666667,-0.002516666666666667,-0.0008166666666666671,-0.0011666666666666648,-0.0026666666666666644,-0.0003333333333333329
1024,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,10,0.0014058888888889287,0.0009459333333332709,0.001760655555555579,-0.002,-0.003033333333333334,-0.001150000000000001,-0.003166666666666665,-0.004366666666666666,-0.001266666666666667
128,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,10,0.0007860000000000089,0.00011475555555554576,0.0012849888888889604,-0.002,-0.0033999999999999994,-0.00030000000000000046,-0.003333333333333334,-0.004,-0.0020000000000000018
128,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,10,-0.0021888888888888514,-0.0046572777777777906,-9.033333333329858e-05,0.002,-0.0014666666666666662,0.004433333333333331,0.003666666666666667,0.0006666666666666661,0.0057
128,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,10,0.000726111111110983,0.00024306666666671362,0.0011896555555556132,-0.001,-0.0023666666666666662,-0.0003333333333333338,-0.002999999999999999,-0.004,-0.0020000000000000018
128,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,10,0.0006481111111111271,0.00020041111111105404,0.0011909333333333769,-0.001333333333333333,-0.0032166666666666663,-0.00015000000000000102,-0.0034999999999999996,-0.0045499999999999985,-0.0020000000000000018
512,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,10,0.0008770000000000722,0.0005077333333334377,0.001506677777777876,-0.002333333333333334,-0.0037,-0.001333333333333334,-0.0030000000000000027,-0.005999999999999998,-0.0014499999999999988
512,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,10,0.0012561111111110135,-0.001949388888888942,0.0023512222222221153,0.001,-0.001333333333333334,0.0038499999999999993,0.003499999999999998,0.001299999999999999,0.007099999999999997
512,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,10,0.0007405555555556331,0.0003206666666667801,0.0014170444444444982,-0.0018333333333333326,-0.002183333333333333,-0.0011499999999999993,-0.0021666666666666657,-0.0037,-0.0007833333333333327
512,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,10,0.0008061111111111741,0.0001567777777779056,0.001231766666666667,-0.001999999999999999,-0.0029999999999999983,-0.0009666666666666673,-0.004333333333333333,-0.006216666666666669,-0.0023
