scope,scope_id,mode,shots,simulator_seed,attack,reference_count,nominal_fpr,n_member,n_nonmember,actual_fpr,calibrated_tpr
cell,eff_su2_r1_d2,ideal_shot,128,0,loss_mia,0,0.01,300,300,0.02,0.0
cell,eff_su2_r1_d2,ideal_shot,128,1,loss_mia,0,0.01,300,300,0.01,0.006666666666666667
cell,eff_su2_r1_d2,ideal_shot,128,2,loss_mia,0,0.01,300,300,0.0033333333333333335,0.0033333333333333335
cell,eff_su2_r1_d2,ideal_shot,128,3,loss_mia,0,0.01,300,300,0.013333333333333334,0.0
cell,eff_su2_r1_d2,ideal_shot,128,4,loss_mia,0,0.01,300,300,0.006666666666666667,0.006666666666666667
cell,eff_su2_r1_d2,ideal_shot,128,5,loss_mia,0,0.01,300,300,0.01,0.0
cell,eff_su2_r1_d2,ideal_shot,128,6,loss_mia,0,0.01,300,300,0.016666666666666666,0.01
cell,eff_su2_r1_d2,ideal_shot,128,7,loss_mia,0,0.01,300,300,0.013333333333333334,0.013333333333333334
cell,eff_su2_r1_d2,ideal_shot,128,8,loss_mia,0,0.01,300,300,0.006666666666666667,0.0033333333333333335
cell,eff_su2_r1_d2,ideal_shot,128,9,loss_mia,0,0.01,300,300,0.01,0.0033333333333333335
cell,eff_su2_r1_d2,ideal_shot,128,0,loss_mia,0,0.05,300,300,0.05,0.04666666666666667
cell,eff_su2_r1_d2,ideal_shot,128,1,loss_mia,0,0.05,300,300,0.056666666666666664,0.043333333333333335
cell,eff_su2_r1_d2,ideal_shot,128,2,loss_mia,0,0.05,300,300,0.05,0.05333333333333334
cell,eff_su2_r1_d2,ideal_shot,128,3,loss_mia,0,0.05,300,300,0.05,0.02666666666666667
cell,eff_su2_r1_d2,ideal_shot,128,4,loss_mia,0,0.05,300,300,0.06,0.043333333333333335
cell,eff_su2_r1_d2,ideal_shot,128,5,loss_mia,0,0.05,300,300,0.043333333333333335,0.043333333333333335
cell,eff_su2_r1_d2,ideal_shot,128,6,loss_mia,0,0.05,300,300,0.04666666666666667,0.03666666666666667
cell,eff_su2_r1_d2,ideal_shot,128,7,loss_mia,0,0.05,300,300,0.04666666666666667,0.06666666666666667
cell,eff_su2_r1_d2,ideal_shot,128,8,loss_mia,0,0.05,300,300,0.05,0.04
cell,eff_su2_r1_d2,ideal_shot,128,9,loss_mia,0,0.05,300,300,0.03333333333333333,0.06666666666666667
cell,eff_su2_r1_d2,ideal_shot,128,0,latent_lira_mismatched,4,0.01,300,300,0.006666666666666667,0.0
