scheme,shots,contrast,estimand,n_cells,n_targets,n_simulator_seeds_per_target,point_estimate,positive_targets,positive_cells,target_only_q025,target_only_q975,hierarchical_cell_target_q025,hierarchical_cell_target_q975,bootstrap_replicates
leave_cell_out,128,affine_minus_mismatched_lira,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.00643466666666666,12,3,-0.0014146833333333263,0.014549416666666651,-0.0030770000000000046,0.016475333333333324,20000
leave_cell_out,128,affine_minus_loss,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.010263999999999999,6,2,-0.007523016666666657,0.030308866666666642,-0.01682804999999999,0.046207133333333296,20000
leave_cell_out,512,affine_minus_mismatched_lira,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.005080666666666668,9,2,-0.0035287499999999937,0.013749333333333332,-0.006105999999999987,0.01666409999999999,20000
leave_cell_out,512,affine_minus_loss,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.019861333333333328,6,2,-0.002920683333333328,0.04486486666666665,-0.016570899999999986,0.06327151666666664,20000
leave_cell_out,1024,affine_minus_mismatched_lira,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.005983333333333328,10,2,-0.0034668833333333423,0.015304183333333318,-0.005993816666666679,0.0182730333333333,20000
leave_cell_out,1024,affine_minus_loss,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.026017333333333326,9,3,0.0025331666666666744,0.05121135,-0.011844116666666677,0.07052278333333331,20000
leave_target_out,128,affine_minus_mismatched_lira,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.0062833333333333265,12,3,-0.0014760500000000065,0.014306816666666639,-0.0032266833333333333,0.015808066666666648,20000
leave_target_out,128,affine_minus_loss,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.010112666666666669,6,2,-0.006271349999999998,0.028444783333333324,-0.014258066666666668,0.043591433333333325,20000
leave_target_out,512,affine_minus_mismatched_lira,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.003264000000000006,9,2,-0.006240783333333329,0.012099333333333339,-0.010030733333333331,0.014897400000000005,20000
leave_target_out,512,affine_minus_loss,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.018044666666666657,8,2,-0.0033040500000000085,0.04140046666666662,-0.01665043333333334,0.05822171666666663,20000
leave_target_out,1024,affine_minus_mismatched_lira,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.002668666666666667,10,3,-0.008700050000000003,0.013221400000000003,-0.013064599999999992,0.01675343333333331,20000
leave_target_out,1024,affine_minus_loss,mean target-level AUC difference after averaging simulator seeds,5,15,10,0.02270266666666666,9,3,-0.0009882333333333516,0.04742686666666665,-0.01638138333333333,0.06475424999999994,20000
