scheme,heldout_scope,heldout_id,calibration_ids,mode,shots,fold,n_train_public_nonmember_pairs,n_test_heldout_nonmember_pairs,intercept,slope,scale,train_rmse,train_r_squared,train_residual_mean,train_residual_std,train_residual_skew,train_residual_excess_kurtosis,train_coverage_90pct,test_rmse,test_r_squared,test_residual_mean,test_residual_std,test_residual_skew,test_residual_excess_kurtosis,test_coverage_90pct
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,0,636,82,-0.3394201951739254,1.0502553666646688,1.625837349881572,1.623278988973451,0.5404579275616559,6.144630576541747e-17,1.623278988973451,-0.2988237699977308,0.7428041235008886,0.8742138364779874,1.224686994007189,0.5798039830454509,0.11221408262923495,1.2195352528525132,0.6035142545129175,0.9316490799783508,0.9634146341463414
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,1,644,78,-0.30185451012789544,1.0575240597419833,1.5063466239261345,1.504005757517337,0.5566995438721041,2.2066544588822986e-17,1.504005757517337,-0.2748152457833747,0.8452165806378593,0.8804347826086957,1.6435750683766666,0.46253558026547625,0.020054917673264835,1.643452708679651,-0.47525415607080046,0.4315069765902013,0.8717948717948718
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,2,648,76,-0.2846010971910034,1.078196328007332,1.5658696072776654,1.5634512743947016,0.5749338259238561,1.0965165675310187e-17,1.5634512743947016,-0.43145950620959017,0.929887840334386,0.8780864197530864,1.6466557019362682,0.4869467193884486,-0.0166535151441152,1.646571486802978,0.23163759242804066,0.13530764072114687,0.8947368421052632
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,3,628,86,-0.30169622467582485,1.0464917803823157,1.6134755360793636,1.6109042586908213,0.5489447083913153,8.485781079937503e-17,1.6109042586908213,-0.2504130046821937,0.5363997634785282,0.8694267515923567,1.520947081203782,0.44809934313344146,-0.3008116068642228,1.4909032165093976,0.28802491039876515,-0.24427637587244577,0.9302325581395349
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,4,644,78,-0.35359427914703456,1.0695670093860181,1.5358109639882327,1.533424309921526,0.5755947625634821,1.1033272294411493e-17,1.533424309921526,-0.3161051816955181,0.9579643409055527,0.8804347826086957,1.4050093446916934,0.3942995582711445,0.10524560156385306,1.4010619622352343,-0.23673931546616728,-0.18389023599124954,0.9230769230769231
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,0,636,82,-0.3126173333840668,1.06202867454571,1.582567133904603,1.580076861498108,0.511539595588685,-8.937644474969814e-17,1.580076861498108,-0.16398859164123344,0.2843106176527206,0.8915094339622641,1.4248431764868916,0.6025915999294613,0.018188170381158924,1.4247270854586296,-0.09483271185586158,0.4965009169675403,0.926829268292683
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,1,644,78,-0.3044656470653598,1.087114900415572,1.467179481301507,1.4648994807299889,0.5282211218922732,3.8616453030440226e-17,1.4648994807299889,-0.08338007298138161,0.3169797685654858,0.8928571428571429,1.8685164318491752,0.5120816375993213,-0.22853379547521058,1.8544880588496837,-0.41117222304774004,0.17873114814664337,0.7564102564102564
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,2,648,76,-0.2623253435330975,1.0744547951358359,1.5033116680593623,1.5009899498119974,0.5345293407569354,4.386066270124075e-17,1.5009899498119974,-0.2247974283826888,0.45524088659711204,0.8935185185185185,1.7014199735174131,0.32957243858873264,-0.2459414573286686,1.683550630617044,0.28083137687702187,0.4068179035546624,0.8026315789473685
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,3,628,86,-0.25183294142946727,1.0810986855160198,1.530989102024215,1.5285492772037501,0.5383130025249259,-2.828593693312501e-17,1.5285492772037501,-0.21937657619741854,0.5249456031574886,0.89171974522293,1.4207269800957572,0.633145896069153,-0.1488944183042872,1.4129032536482595,-0.9666807080498231,3.326812365070637,0.9302325581395349
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,4,644,78,-0.3551720729066951,1.1273028706738044,1.4872555564839212,1.4849443576415213,0.5649119887959528,-5.792467954566034e-17,1.4849443576415213,-0.13188280551139364,0.5220890452446159,0.8944099378881988,1.584075618219259,0.5838361581070978,-0.04788854188700741,1.5833515881801694,-0.30730445852112004,0.8173738282834049,0.8461538461538461
