scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,loss_mia,0,600,600,0.5269138888888889,0.05999999999999994,0.0,0.0,0.01,0.01,0.051666666666666666,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,loss_mia,0,200,200,0.5216,0.07,0.0,0.0,0.005,0.01,0.05,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,loss_mia,0,200,200,0.554275,0.1150000000000001,0.005,0.0,0.015,0.005,0.055,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,loss_mia,0,200,200,0.506,0.05500000000000005,0.0,0.0,0.0,0.0,0.07,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,loss_mia,0,600,600,0.5333361111111111,0.09166666666666667,0.0016666666666666668,0.0,0.008333333333333333,0.01,0.03833333333333333,0.04833333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,loss_mia,0,200,200,0.5445,0.11499999999999999,0.0,0.0,0.005,0.005,0.04,0.04
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,loss_mia,0,200,200,0.5367500000000001,0.13999999999999996,0.0,0.0,0.005,0.01,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,loss_mia,0,200,200,0.517875,0.07000000000000006,0.005,0.0,0.015,0.005,0.04,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,latent_lira_mismatched,16,600,600,0.4839805555555555,0.016666666666666607,0.0016666666666666668,0.0,0.005,0.01,0.055,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,latent_lira_mismatched,16,200,200,0.49934999999999996,0.030000000000000002,0.01,0.0,0.035,0.005,0.05,0.03
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,latent_lira_mismatched,16,200,200,0.47265,0.04500000000000004,0.005,0.0,0.01,0.01,0.03,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,latent_lira_mismatched,16,200,200,0.47935,0.035,0.0,0.0,0.0,0.0,0.05,0.045
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,latent_lira_mismatched,16,600,600,0.488225,0.023333333333333317,0.005,0.0,0.015,0.008333333333333333,0.04,0.04666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,latent_lira_mismatched,16,200,200,0.499025,0.05500000000000005,0.005,0.0,0.025,0.01,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,latent_lira_mismatched,16,200,200,0.49855000000000005,0.04499999999999993,0.005,0.0,0.01,0.005,0.045,0.045
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,latent_lira_mismatched,16,200,200,0.466675,0.024999999999999994,0.01,0.0,0.015,0.01,0.04,0.05
