scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,loss_mia,0,3000,3000,0.518743,0.040000000000000036,0.001,0.001,0.008,0.01,0.04833333333333333,0.049666666666666665
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,loss_mia,0,1000,1000,0.508444,0.035999999999999976,0.001,0.0,0.004,0.01,0.035,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,loss_mia,0,1000,1000,0.51919,0.04300000000000004,0.002,0.001,0.011,0.008,0.073,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,0,loss_mia,0,1000,1000,0.528034,0.07100000000000001,0.001,0.0,0.008,0.01,0.045,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,loss_mia,0,3000,3000,0.52616,0.04966666666666669,0.0003333333333333333,0.0006666666666666666,0.01,0.009666666666666667,0.056,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,loss_mia,0,1000,1000,0.5199699999999999,0.04600000000000004,0.001,0.001,0.009,0.01,0.058,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,loss_mia,0,1000,1000,0.533359,0.07600000000000007,0.0,0.0,0.009,0.01,0.055,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,loss_mia,0,1000,1000,0.524808,0.050000000000000044,0.003,0.001,0.011,0.01,0.055,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,latent_lira_mismatched,16,3000,3000,0.4892836666666667,0.01100000000000001,0.0003333333333333333,0.0003333333333333333,0.006666666666666667,0.009666666666666667,0.032,0.049666666666666665
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,latent_lira_mismatched,16,1000,1000,0.490953,0.02100000000000002,0.0,0.0,0.006,0.005,0.03,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,latent_lira_mismatched,16,1000,1000,0.493496,0.027999999999999914,0.001,0.001,0.007,0.009,0.034,0.047
