contrast,metric,estimand,n_cells,n_targets,n_simulator_seeds_per_target,point_estimate,ci95_lower,ci95_upper,positive_targets,positive_cells,bootstrap_replicates,bootstrap_seed,substream_namespace
affine_minus_learned,tpr_at_1pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,0.0002833333333333323,-0.0017583333333333342,0.0026085416666666488,7,2,20000,20260822,2084358158
affine_minus_learned,auc,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.011583208333333303,-0.02500564166666669,0.002776797708333335,3,1,20000,20260822,2687811717
affine_minus_learned,tpr_at_5pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.0008166666666666687,-0.008525000000000005,0.007366666666666665,6,2,20000,20260822,310264363
affine_minus_loss,tpr_at_1pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.002725,-0.0057752083333333344,0.000591874999999982,5,1,20000,20260822,719058793
affine_minus_loss,auc,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.02279873333333328,-0.03480666666666653,-0.010044783333333298,1,0,20000,20260822,2646588772
affine_minus_loss,tpr_at_5pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.005683333333333332,-0.013908541666666656,0.001091666666666669,4,0,20000,20260822,3845656481
affine_minus_matched_reference,tpr_at_1pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.0017000000000000019,-0.004358333333333335,0.0009916666666666665,3,2,20000,20260822,2347459914
affine_minus_matched_reference,auc,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.002538979166666617,-0.00801981677083331,0.0026146096875000638,5,2,20000,20260822,1638817730
affine_minus_matched_reference,tpr_at_5pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.0011916666666666696,-0.005775000000000007,0.0023499999999999975,6,2,20000,20260822,683756359
affine_minus_mismatched,tpr_at_1pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,0.0024499999999999995,0.0006249999999999989,0.00445,10,4,20000,20260822,219796557
affine_minus_mismatched,auc,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.0059743583333333045,-0.01299642625,0.0004074187500000265,4,1,20000,20260822,3599903695
affine_minus_mismatched,tpr_at_5pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,0.007008333333333334,-0.0007250000000000022,0.013458541666666652,9,3,20000,20260822,2175723865
matched_reference_minus_learned,tpr_at_1pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,0.001983333333333334,-0.0008500000000000014,0.004916666666666666,9,3,20000,20260822,2221345731
matched_reference_minus_learned,auc,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.009044229166666687,-0.018567047916666735,0.002255812499999954,3,1,20000,20260822,1259821149
matched_reference_minus_learned,tpr_at_5pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,0.00037500000000000093,-0.005616666666666668,0.007316666666666668,6,1,20000,20260822,2526317539
matched_reference_minus_loss,tpr_at_1pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.0010249999999999986,-0.004724999999999999,0.0021166666666666677,4,3,20000,20260822,4283408488
matched_reference_minus_loss,auc,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.02025975416666666,-0.03002290812500004,-0.009621595833333366,1,0,20000,20260822,2189024429
matched_reference_minus_loss,tpr_at_5pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.004491666666666664,-0.009491875,0.0006416666666666655,4,0,20000,20260822,3099244065
matched_reference_minus_mismatched,tpr_at_1pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,0.004150000000000002,0.0012083333333333336,0.006975000000000002,10,3,20000,20260822,192932497
matched_reference_minus_mismatched,auc,mean target-level paired difference after averaging simulator seeds,4,12,10,-0.0034353791666666875,-0.008723027083333336,0.0014986070833333262,4,1,20000,20260822,960685167
matched_reference_minus_mismatched,tpr_at_5pct_fpr,mean target-level paired difference after averaging simulator seeds,4,12,10,0.008200000000000004,0.004400000000000003,0.012900000000000003,11,4,20000,20260822,2449269314
