scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,0,loss_mia,0,3000,3000,0.5362902222222222,0.05466666666666664,0.005666666666666667,0.001,0.019,0.01,0.06433333333333334,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,0,loss_mia,0,1000,1000,0.5439769999999999,0.08399999999999996,0.006,0.001,0.014,0.009,0.07,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,0,loss_mia,0,1000,1000,0.5296449999999999,0.061000000000000054,0.012,0.001,0.021,0.009,0.069,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,0,loss_mia,0,1000,1000,0.534776,0.05800000000000005,0.006,0.001,0.018,0.009,0.055,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,1,loss_mia,0,3000,3000,0.5222813333333334,0.05233333333333334,0.003,0.0003333333333333333,0.009333333333333334,0.01,0.047,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,1,loss_mia,0,1000,1000,0.517678,0.03899999999999998,0.002,0.0,0.007,0.01,0.048,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,1,loss_mia,0,1000,1000,0.532097,0.08799999999999997,0.002,0.001,0.008,0.007,0.045,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,1,loss_mia,0,1000,1000,0.51798,0.04800000000000004,0.007,0.001,0.017,0.01,0.051,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,2,loss_mia,0,3000,3000,0.5430371111111111,0.06933333333333336,0.002,0.0006666666666666666,0.017333333333333333,0.009666666666666667,0.074,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,2,loss_mia,0,1000,1000,0.54972,0.08299999999999996,0.002,0.001,0.014,0.009,0.072,0.049
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,2,loss_mia,0,1000,1000,0.55083,0.08400000000000002,0.0,0.0,0.023,0.009,0.074,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,2,loss_mia,0,1000,1000,0.529498,0.062000000000000055,0.006,0.001,0.019,0.007,0.076,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,3,loss_mia,0,3000,3000,0.5250697777777777,0.04800000000000004,0.0023333333333333335,0.001,0.013,0.01,0.059666666666666666,0.04933333333333333
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,3,loss_mia,0,1000,1000,0.538208,0.066,0.001,0.0,0.013,0.01,0.061,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,3,loss_mia,0,1000,1000,0.523341,0.056999999999999995,0.0,0.0,0.022,0.01,0.066,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,3,loss_mia,0,1000,1000,0.514055,0.04999999999999993,0.005,0.001,0.011,0.01,0.054,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,4,loss_mia,0,3000,3000,0.5234145555555556,0.04300000000000004,0.0016666666666666668,0.001,0.013,0.01,0.058333333333333334,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,4,loss_mia,0,1000,1000,0.532523,0.05499999999999999,0.002,0.0,0.018,0.01,0.052,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,4,loss_mia,0,1000,1000,0.5202039999999999,0.04899999999999993,0.005,0.001,0.012,0.01,0.067,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,4,loss_mia,0,1000,1000,0.517502,0.04600000000000004,0.002,0.0,0.015,0.008,0.044,0.049
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,5,loss_mia,0,3000,3000,0.5335463333333333,0.06633333333333336,0.002,0.001,0.014,0.009666666666666667,0.058666666666666666,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,5,loss_mia,0,1000,1000,0.53567,0.07699999999999996,0.0,0.0,0.012,0.004,0.052,0.047
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,5,loss_mia,0,1000,1000,0.529605,0.067,0.007,0.001,0.015,0.01,0.058,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,5,loss_mia,0,1000,1000,0.5345899999999999,0.069,0.006,0.001,0.02,0.01,0.068,0.049
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,6,loss_mia,0,3000,3000,0.5268641111111112,0.04666666666666669,0.0033333333333333335,0.001,0.019,0.01,0.066,0.049666666666666665
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,6,loss_mia,0,1000,1000,0.521741,0.06,0.004,0.001,0.022,0.01,0.062,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,6,loss_mia,0,1000,1000,0.522894,0.04200000000000004,0.001,0.0,0.022,0.01,0.066,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,6,loss_mia,0,1000,1000,0.535972,0.07100000000000001,0.007,0.001,0.014,0.01,0.071,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,7,loss_mia,0,3000,3000,0.527345,0.05166666666666675,0.0013333333333333333,0.001,0.017,0.009333333333333334,0.059666666666666666,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,7,loss_mia,0,1000,1000,0.517117,0.04800000000000004,0.001,0.001,0.021,0.01,0.06,0.049
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,7,loss_mia,0,1000,1000,0.5296500000000001,0.05799999999999994,0.001,0.0,0.018,0.009,0.058,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,7,loss_mia,0,1000,1000,0.5355110000000001,0.06599999999999995,0.003,0.001,0.013,0.01,0.063,0.045
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,8,loss_mia,0,3000,3000,0.5275854444444444,0.04966666666666675,0.0006666666666666666,0.0006666666666666666,0.02,0.009333333333333334,0.072,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,8,loss_mia,0,1000,1000,0.51599,0.04600000000000004,0.006,0.001,0.03,0.01,0.081,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,8,loss_mia,0,1000,1000,0.533223,0.06899999999999995,0.0,0.0,0.016,0.01,0.057,0.049
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,8,loss_mia,0,1000,1000,0.5332520000000001,0.05899999999999994,0.006,0.001,0.025,0.01,0.071,0.049
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,9,loss_mia,0,3000,3000,0.5344915555555555,0.06299999999999994,0.0036666666666666666,0.0006666666666666666,0.012666666666666666,0.009333333333333334,0.050666666666666665,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,9,loss_mia,0,1000,1000,0.533663,0.07400000000000007,0.003,0.001,0.016,0.008,0.062,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,9,loss_mia,0,1000,1000,0.541111,0.08399999999999996,0.005,0.001,0.011,0.008,0.054,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,9,loss_mia,0,1000,1000,0.528814,0.07099999999999995,0.007,0.001,0.017,0.007,0.049,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,3000,3000,0.494049,0.014000000000000012,0.0033333333333333335,0.0006666666666666666,0.011,0.009666666666666667,0.04133333333333333,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,1000,1000,0.492992,0.02400000000000002,0.003,0.001,0.011,0.006,0.05,0.049
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,1000,1000,0.49403100000000005,0.01100000000000001,0.006,0.001,0.013,0.009,0.031,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,1000,1000,0.49553499999999995,0.020000000000000018,0.003,0.001,0.011,0.01,0.044,0.049
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,3000,3000,0.488471,0.010666666666666713,0.0013333333333333333,0.0003333333333333333,0.008,0.008666666666666666,0.046,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,1000,1000,0.4776640000000001,0.01200000000000001,0.003,0.001,0.015,0.01,0.048,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,1000,1000,0.491143,0.020000000000000018,0.001,0.0,0.006,0.01,0.042,0.045
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,1000,1000,0.495789,0.012999999999999984,0.0,0.0,0.007,0.01,0.045,0.046
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,3000,3000,0.49899055555555555,0.01633333333333331,0.0016666666666666668,0.0006666666666666666,0.007333333333333333,0.01,0.04,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,1000,1000,0.5122340000000001,0.04800000000000004,0.001,0.001,0.009,0.01,0.048,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,1000,1000,0.495724,0.03600000000000003,0.0,0.0,0.015,0.01,0.041,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,1000,1000,0.488143,0.006000000000000005,0.004,0.0,0.008,0.009,0.031,0.049
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,3000,3000,0.494791,0.011000000000000003,0.002,0.001,0.015333333333333332,0.009333333333333334,0.05633333333333333,0.048666666666666664
