target_id,structural_cell_id,fm_kind,reps,depth,model_seed,data_seed,mode,queries,shots,total_shots_per_target_record,simulator_seed,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,num_reference_models,reference_calibration_circuit_shots,reference_execution_reused,reference_cache,target_attack_circuit_shots,calibration_timestamp,backend_name,snapshot_manifest_sha256,sample_score_file,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,0,lira_online,0.5099130000000001,0.482888825,0.531303,200,0.044,0.049,0.089,0.1,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim0.npz,0.51,0.020000000000000018,0.724,0.704,-0.3072875090368208,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,0,lira_online_fixed_variance,0.5153,0.49293335,0.5394434499999999,200,0.054,0.05,0.114,0.1,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim0.npz,0.5205,0.041000000000000036,0.668,0.627,-0.0862402606383097,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,0,lira_offline,0.502672,0.47732444999999996,0.5264019249999999,200,0.047,0.05,0.086,0.098,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim0.npz,0.497,-0.005999999999999894,0.56,0.566,1.3815809334001135,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,0,lira_offline_fixed_variance,0.503053,0.474730875,0.52472505,200,0.04,0.05,0.108,0.096,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim0.npz,0.493,-0.014000000000000012,0.452,0.466,1.3195158598265875,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,0,global_true_class_log_odds,0.523366,0.498976725,0.54731585,200,0.059,0.05,0.1,0.094,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim0.npz,0.49349999999999994,-0.013000000000000012,0.57,0.583,0.8684087632207067,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,1,lira_online,0.497577,0.4728423,0.5234322,200,0.056,0.05,0.093,0.1,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim1.npz,0.4865,-0.027000000000000024,0.767,0.794,-0.3853365384756824,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,1,lira_online_fixed_variance,0.511028,0.48833425,0.5351177500000001,200,0.06,0.05,0.12,0.1,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim1.npz,0.5105,0.02100000000000002,0.672,0.651,-0.0566205023696007,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,1,lira_offline,0.49996300000000005,0.477064075,0.5241817249999999,200,0.049,0.049,0.096,0.1,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim1.npz,0.5035000000000001,0.007000000000000006,0.665,0.658,1.2669100185941784,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,1,lira_offline_fixed_variance,0.49710600000000005,0.470667575,0.52592055,200,0.046,0.048,0.092,0.1,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim1.npz,0.4865,-0.027000000000000024,0.706,0.733,1.3388690974056252,5
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,143,noisy_shot,1,128,128,1,global_true_class_log_odds,0.519728,0.494879275,0.539738975,200,0.058,0.048,0.114,0.1,1000,1000,16,4096000,True,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/reference_cache/z_r1_d6_wd0_885a8ad0486f68cfed9e.npz,256000,2026-08-21T21:16:41+08:00,ibm_kingston,7af4abc6763339615cc42bd00fafb532e3c44a31c14bc574c88456a496136a2f,/home/najeeb/chanLira/channel_lira_results/phase7/stage2_primary/noisy_lira/sample_scores/MNIST_QNN_z_r1_d6_p7_s145_noisy_shot_sim1.npz,0.5195,0.038999999999999924,0.842,0.803,-0.5844940957731415,5
