scope,shots,replicate,contrast,auc_difference,advantage_difference,tpr_at_0_1pct_fpr_difference,tpr_at_1pct_fpr_difference,tpr_at_5pct_fpr_difference
eff_su2_r1_d2,32,0,matched_minus_mismatched,-0.015861111111111215,-0.021666666666666723,0.0,0.008333333333333333,0.0049999999999999975
eff_su2_r1_d2,32,0,matched_minus_naive_mean,-0.019438888888889005,-0.020000000000000073,0.0,0.013333333333333332,0.011666666666666665
eff_su2_r1_d2,32,0,matched_minus_deconvolved_mean,-0.014527777777777806,-0.00666666666666671,-0.0016666666666666668,0.01,0.0
eff_su2_r1_d2,32,1,matched_minus_mismatched,-0.005891666666666628,0.009999999999999898,0.005,0.015,0.003333333333333327
eff_su2_r1_d2,32,1,matched_minus_naive_mean,-0.011194444444444396,-0.015000000000000013,0.005,0.015,0.025
eff_su2_r1_d2,32,1,matched_minus_deconvolved_mean,-0.005127777777777731,-0.026666666666666727,0.005,0.016666666666666666,0.03833333333333333
eff_su2_r1_d2,32,2,matched_minus_mismatched,0.003949999999999898,0.015000000000000013,0.003333333333333333,0.01,0.011666666666666672
eff_su2_r1_d2,32,2,matched_minus_naive_mean,0.002266666666666639,0.010000000000000009,0.008333333333333333,0.016666666666666666,0.021666666666666667
eff_su2_r1_d2,32,2,matched_minus_deconvolved_mean,-0.015352777777777882,-0.020000000000000018,0.01,0.018333333333333333,0.023333333333333338
eff_su2_r1_d2,32,3,matched_minus_mismatched,-0.010102777777777794,-0.03833333333333333,0.006666666666666667,0.0033333333333333322,0.034999999999999996
eff_su2_r1_d2,32,3,matched_minus_naive_mean,-0.011197222222222303,-0.046666666666666634,0.006666666666666667,0.009999999999999998,0.048333333333333325
eff_su2_r1_d2,32,3,matched_minus_deconvolved_mean,-0.028902777777777833,-0.03833333333333333,0.006666666666666667,0.0033333333333333322,0.008333333333333331
eff_su2_r1_d2,32,4,matched_minus_mismatched,-0.00635555555555567,-0.004999999999999963,0.0016666666666666668,0.005000000000000001,0.003333333333333341
eff_su2_r1_d2,32,4,matched_minus_naive_mean,-0.0058805555555556666,-0.02500000000000009,0.0016666666666666668,0.015,0.020000000000000004
eff_su2_r1_d2,32,4,matched_minus_deconvolved_mean,-0.004233333333333311,-0.006666666666666668,0.0016666666666666668,0.018333333333333333,0.010000000000000009
eff_su2_r1_d2,32,5,matched_minus_mismatched,-0.01840833333333336,5.551115123125783e-17,0.006666666666666667,0.018333333333333333,0.013333333333333322
eff_su2_r1_d2,32,5,matched_minus_naive_mean,-0.02274722222222214,-0.014999999999999958,0.006666666666666667,0.019999999999999997,0.03666666666666666
eff_su2_r1_d2,32,5,matched_minus_deconvolved_mean,-0.012063888888888763,-0.010000000000000064,0.006666666666666667,0.019999999999999997,0.009999999999999995
eff_su2_r1_d2,32,6,matched_minus_mismatched,-0.0152472222222223,-0.013333333333333378,0.0033333333333333335,0.006666666666666666,0.03333333333333333
eff_su2_r1_d2,32,6,matched_minus_naive_mean,-0.025044444444444536,-0.02833333333333339,0.0033333333333333335,0.01,0.026666666666666672
eff_su2_r1_d2,32,6,matched_minus_deconvolved_mean,-0.013763888888888909,-0.023333333333333386,0.0033333333333333335,0.01,0.03166666666666667
eff_su2_r1_d2,32,7,matched_minus_mismatched,0.0006500000000000394,0.005000000000000018,0.0,0.010000000000000002,0.010000000000000002
eff_su2_r1_d2,32,7,matched_minus_naive_mean,-0.005730555555555572,-0.0049999999999999906,0.0,0.018333333333333333,0.021666666666666667
eff_su2_r1_d2,32,7,matched_minus_deconvolved_mean,-0.004974999999999952,1.3877787807814457e-17,0.0,0.010000000000000002,0.010000000000000002
eff_su2_r1_d2,32,8,matched_minus_mismatched,-0.014202777777777675,-0.003333333333333355,0.0,0.016666666666666663,0.020000000000000004
eff_su2_r1_d2,32,8,matched_minus_naive_mean,-0.025302777777777785,-0.01666666666666672,0.0,0.028333333333333332,0.04666666666666667
eff_su2_r1_d2,32,8,matched_minus_deconvolved_mean,-0.015355555555555567,0.0,0.0,0.021666666666666667,0.035
eff_su2_r1_d2,32,9,matched_minus_mismatched,-0.0047916666666666385,0.0016666666666666774,0.0033333333333333335,0.013333333333333332,0.013333333333333329
eff_su2_r1_d2,32,9,matched_minus_naive_mean,-0.004430555555555493,0.0,0.0033333333333333335,0.013333333333333332,0.019999999999999997
eff_su2_r1_d2,32,9,matched_minus_deconvolved_mean,-0.007849999999999913,-0.008333333333333304,0.0033333333333333335,0.011666666666666665,0.034999999999999996
eff_su2_r1_d2,32,10,matched_minus_mismatched,-0.010261111111111165,-0.0016666666666667052,0.0,0.008333333333333335,-0.006666666666666675
eff_su2_r1_d2,32,10,matched_minus_naive_mean,-0.013513888888888936,-0.020000000000000073,0.0,0.005000000000000001,0.013333333333333329
eff_su2_r1_d2,32,10,matched_minus_deconvolved_mean,-0.009630555555555476,-0.020000000000000073,-0.006666666666666667,-0.0016666666666666653,0.003333333333333327
eff_su2_r1_d2,32,11,matched_minus_mismatched,0.0025083333333333346,-5.551115123125783e-17,0.0016666666666666668,0.015,0.019999999999999997
eff_su2_r1_d2,32,11,matched_minus_naive_mean,0.003369444444444536,0.0016666666666666496,0.0033333333333333335,0.018333333333333333,0.02333333333333333
eff_su2_r1_d2,32,11,matched_minus_deconvolved_mean,-0.0039027777777778105,-2.7755575615628914e-17,0.0033333333333333335,0.016666666666666666,0.011666666666666659
eff_su2_r1_d2,32,12,matched_minus_mismatched,-0.006641666666666657,-0.024999999999999967,0.005,0.011666666666666667,0.016666666666666663
eff_su2_r1_d2,32,12,matched_minus_naive_mean,-0.0059861111111111365,-0.026666666666666672,0.005,0.018333333333333333,0.039999999999999994
eff_su2_r1_d2,32,12,matched_minus_deconvolved_mean,-0.016727777777777675,-0.024999999999999967,0.005,0.005000000000000001,0.033333333333333326
eff_su2_r1_d2,32,13,matched_minus_mismatched,-0.002658333333333429,0.0016666666666666496,0.0016666666666666668,0.013333333333333332,0.03166666666666667
eff_su2_r1_d2,32,13,matched_minus_naive_mean,-0.010077777777777852,-0.026666666666666783,0.0016666666666666668,0.016666666666666666,0.028333333333333335
