victim_target_id,structural_cell_id,contrast,attack,comparator,auc_difference,empirical_tpr_at_1pct_fpr_difference,actual_victim_fpr_difference,operational_tpr_difference,loss_conditioned_auc_difference
MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,paired_joint_minus_loss,paired_joint_probe,loss_mia,0.019672000000000023,-0.0010000000000000009,-0.006,-0.009,0.028350552114865424
MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,paired_joint_minus_learned,paired_joint_probe,learned_mia,0.005654000000000048,-0.004,-0.012,-0.018,0.003761594396782697
MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,paired_joint_minus_classical_stochastic,paired_joint_probe,classical_stochastic_control,0.015423999999999993,0.0,-0.009999999999999998,-0.013,0.01379210085108118
MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,fixed_joint_minus_learned,fixed_joint,learned_mia,-0.018847000000000058,-0.004,0.0010000000000000009,0.0,-0.024350247332341923
MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,paired_joint_minus_fixed_joint,paired_joint_probe,fixed_joint,0.024501000000000106,0.0,-0.013000000000000001,-0.018,0.02811184172912462
MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,paired_joint_minus_loss,paired_joint_probe,loss_mia,-0.01182900000000009,-0.003000000000000001,-0.016,-0.023,0.0031867903195423875
MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,paired_joint_minus_learned,paired_joint_probe,learned_mia,-0.005711000000000133,-0.002,-0.005,-0.002,0.008294307141605173
MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,paired_joint_minus_classical_stochastic,paired_joint_probe,classical_stochastic_control,-0.002713999999999994,-0.007000000000000001,-0.013000000000000001,-0.015,0.0035715523728148124
MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,fixed_joint_minus_learned,fixed_joint,learned_mia,-0.018858000000000152,0.0010000000000000009,-0.008,-0.007,0.0012282635303718648
MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,paired_joint_minus_fixed_joint,paired_joint_probe,fixed_joint,0.01314700000000002,-0.003000000000000001,0.003,0.005,0.007066043611233308
MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,paired_joint_minus_loss,paired_joint_probe,loss_mia,0.010118999999999989,-0.011,0.001,-0.004,-0.0027228202373578148
MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,paired_joint_minus_learned,paired_joint_probe,learned_mia,-0.0011889999999999956,-0.016,0.0,-0.012,-0.006001921254858988
MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,paired_joint_minus_classical_stochastic,paired_joint_probe,classical_stochastic_control,-0.004481999999999875,-0.009999999999999998,-0.001,-0.006,-0.004578570988479358
MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,fixed_joint_minus_learned,fixed_joint,learned_mia,0.0019399999999999418,-0.004,-0.005,-0.014,-0.0066317214425027915
MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,paired_joint_minus_fixed_joint,paired_joint_probe,fixed_joint,-0.0031289999999999374,-0.012,0.005,0.002,0.0006298001876438031
MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,paired_joint_minus_loss,paired_joint_probe,loss_mia,-0.009552999999999923,-0.002999999999999999,-0.003999999999999999,-0.008,-0.0025872209025273873
MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,paired_joint_minus_learned,paired_joint_probe,learned_mia,-0.005506999999999929,0.003,-0.003,0.0,0.02050458010237166
MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,paired_joint_minus_classical_stochastic,paired_joint_probe,classical_stochastic_control,-0.0008610000000000007,-0.002,-0.001,-0.001999999999999999,0.006202606043283598
MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,fixed_joint_minus_learned,fixed_joint,learned_mia,-0.010367999999999933,0.005999999999999999,0.025,0.04,0.012384986505655782
MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,paired_joint_minus_fixed_joint,paired_joint_probe,fixed_joint,0.004861000000000004,-0.002999999999999999,-0.028000000000000004,-0.04,0.00811959359671588
MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,paired_joint_minus_loss,paired_joint_probe,loss_mia,-0.010180999999999885,-0.0009999999999999992,0.003,0.005999999999999999,0.03059672143463421
MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,paired_joint_minus_learned,paired_joint_probe,learned_mia,-0.024879999999999902,-0.005999999999999998,0.001,0.0009999999999999992,-0.011850342139386627
MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,paired_joint_minus_classical_stochastic,paired_joint_probe,classical_stochastic_control,-0.005661000000000027,-0.005999999999999998,-0.003,-0.009,0.00613551400561374
MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,fixed_joint_minus_learned,fixed_joint,learned_mia,-0.03069999999999995,-0.009,0.002,0.0,-0.02158126588890852
MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,paired_joint_minus_fixed_joint,paired_joint_probe,fixed_joint,0.005820000000000047,0.003000000000000001,-0.001,0.0009999999999999992,0.009730923749521891
MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,paired_joint_minus_loss,paired_joint_probe,loss_mia,-0.053324999999999956,-0.0009999999999999992,-0.009000000000000001,-0.018000000000000002,3.0115808744013428e-05
MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,paired_joint_minus_learned,paired_joint_probe,learned_mia,-0.01748099999999997,-0.016,-0.011,-0.028999999999999998,-0.008111108772900999
MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,paired_joint_minus_classical_stochastic,paired_joint_probe,classical_stochastic_control,-0.010279999999999956,0.007,-0.005,0.0,0.000399063272105149
MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,fixed_joint_minus_learned,fixed_joint,learned_mia,-0.007743000000000055,-0.024,-0.015,-0.036,-0.01399485539026879
MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,paired_joint_minus_fixed_joint,paired_joint_probe,fixed_joint,-0.009737999999999913,0.008,0.004,0.007,0.005883746617367791
