victim_target_id,calibration_target_id,structural_cell_id,attack,auc,empirical_tpr_at_1pct_fpr,empirical_attained_fpr,nominal_fpr,calibration_threshold,actual_victim_fpr,operational_tpr,loss_conditioned_auc,loss_conditioned_bins,loss_conditioned_records,victim_members,victim_nonmembers,calibration_members,calibration_nonmembers,training_rows_before_identity_aggregation,training_rows_removed_for_held_identity_overlap,training_unique_content_identities,feature_count,attacker
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,loss_mia,0.501382,0.012,0.01,0.01,0.977595967054367,0.007,0.009,0.4918531492797253,20,2000,1000,1000,1000,1000,8000,0,8000,1,raw score
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,learned_mia,0.5154,0.015,0.01,0.01,0.5757425150926948,0.013,0.018,0.516442106997808,20,2000,1000,1000,1000,1000,8000,0,8000,9,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,classical_stochastic_control,0.50563,0.011,0.01,0.01,0.6219446482221124,0.011,0.013,0.5064116005435095,20,2000,1000,1000,1000,1000,8000,0,8000,17,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,fixed_marginal,0.495162,0.009,0.01,0.01,0.68126825527318,0.061,0.058,0.4981921279675818,20,2000,1000,1000,1000,1000,8000,0,8000,21,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,fixed_joint,0.4965529999999999,0.011,0.01,0.01,0.6453080924050243,0.014,0.018,0.4920918596654661,20,2000,1000,1000,1000,1000,8000,0,8000,100,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,paired_probability_probe,0.519216,0.013,0.01,0.01,0.7274795477888429,0.005,0.008,0.5215517840087238,20,2000,1000,1000,1000,1000,8000,0,8000,37,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,paired_marginal_probe,0.49008000000000007,0.007,0.01,0.01,0.9088858592018006,0.006,0.006,0.4896276422885981,20,2000,1000,1000,1000,1000,8000,0,8000,67,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,paired_joint_probe,0.521054,0.011,0.01,0.01,0.8121683073130979,0.001,0.0,0.5202037013945907,20,2000,1000,1000,1000,1000,8000,0,8000,304,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s246,MNIST_QNN_eff_su2_r1_d2_q0_s247,eff_su2_r1_d2,clean_z_diagnostic,0.513364,0.01,0.01,0.01,0.559797646948824,0.392,0.419,0.5120433434110543,20,2000,1000,1000,1000,1000,8000,0,8000,15,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s247,MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,loss_mia,0.527069,0.012,0.01,0.01,0.9598600327968597,0.019,0.028,0.5070948636073449,20,2000,1000,1000,1000,1000,8000,0,8000,1,raw score
