scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,nominal_fpr,n_member,n_nonmember,actual_fpr,calibrated_tpr
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,loss_mia,0,0.01,300,300,0.013333333333333334,0.006666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,loss_mia,0,0.01,100,100,0.0,0.01
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,loss_mia,0,0.01,100,100,0.02,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,loss_mia,0,0.01,100,100,0.02,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,loss_mia,0,0.01,300,300,0.01,0.0033333333333333335
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,loss_mia,0,0.01,100,100,0.01,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,loss_mia,0,0.01,100,100,0.0,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,loss_mia,0,0.01,100,100,0.02,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,2,loss_mia,0,0.01,300,300,0.006666666666666667,0.006666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,2,loss_mia,0,0.01,100,100,0.01,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,2,loss_mia,0,0.01,100,100,0.01,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,2,loss_mia,0,0.01,100,100,0.0,0.01
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,3,loss_mia,0,0.01,300,300,0.01,0.006666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,3,loss_mia,0,0.01,100,100,0.0,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,3,loss_mia,0,0.01,100,100,0.01,0.02
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,3,loss_mia,0,0.01,100,100,0.02,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,4,loss_mia,0,0.01,300,300,0.013333333333333334,0.006666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,4,loss_mia,0,0.01,100,100,0.01,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,4,loss_mia,0,0.01,100,100,0.01,0.02
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,4,loss_mia,0,0.01,100,100,0.02,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,5,loss_mia,0,0.01,300,300,0.013333333333333334,0.0033333333333333335
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,5,loss_mia,0,0.01,100,100,0.01,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,5,loss_mia,0,0.01,100,100,0.02,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,5,loss_mia,0,0.01,100,100,0.01,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,6,loss_mia,0,0.01,300,300,0.01,0.006666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,6,loss_mia,0,0.01,100,100,0.01,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,6,loss_mia,0,0.01,100,100,0.02,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,6,loss_mia,0,0.01,100,100,0.0,0.01
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,7,loss_mia,0,0.01,300,300,0.02,0.03333333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,7,loss_mia,0,0.01,100,100,0.01,0.02
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,7,loss_mia,0,0.01,100,100,0.04,0.07
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,7,loss_mia,0,0.01,100,100,0.01,0.01
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,8,loss_mia,0,0.01,300,300,0.01,0.006666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,8,loss_mia,0,0.01,100,100,0.0,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,8,loss_mia,0,0.01,100,100,0.02,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,8,loss_mia,0,0.01,100,100,0.01,0.01
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,9,loss_mia,0,0.01,300,300,0.01,0.02
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,9,loss_mia,0,0.01,100,100,0.0,0.01
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,9,loss_mia,0,0.01,100,100,0.03,0.03
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,9,loss_mia,0,0.01,100,100,0.0,0.02
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,loss_mia,0,0.05,300,300,0.06333333333333334,0.06666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,loss_mia,0,0.05,100,100,0.02,0.03
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,loss_mia,0,0.05,100,100,0.12,0.1
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,loss_mia,0,0.05,100,100,0.05,0.07
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,loss_mia,0,0.05,300,300,0.06,0.06333333333333334
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,loss_mia,0,0.05,100,100,0.04,0.02
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,loss_mia,0,0.05,100,100,0.1,0.09
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,loss_mia,0,0.05,100,100,0.04,0.08
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,2,loss_mia,0,0.05,300,300,0.05,0.07333333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,2,loss_mia,0,0.05,100,100,0.04,0.02
