scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,loss_mia,0,300,300,0.5337777777777778,0.07666666666666666,0.0,0.0,0.0,0.0,0.05333333333333334,0.04666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,loss_mia,0,100,100,0.4806,0.06,0.01,0.0,0.01,0.0,0.06,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,loss_mia,0,100,100,0.5507,0.15000000000000002,0.0,0.0,0.0,0.0,0.04,0.02
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,loss_mia,0,100,100,0.5667,0.15,0.0,0.0,0.0,0.0,0.07,0.04
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,loss_mia,0,300,300,0.5412666666666666,0.09333333333333338,0.0033333333333333335,0.0,0.016666666666666666,0.01,0.06,0.043333333333333335
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,loss_mia,0,100,100,0.553,0.1100000000000001,0.0,0.0,0.01,0.01,0.06,0.04
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,loss_mia,0,100,100,0.5262,0.12,0.02,0.0,0.02,0.0,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,loss_mia,0,100,100,0.5467,0.12000000000000005,0.0,0.0,0.0,0.0,0.08,0.04
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,2,loss_mia,0,300,300,0.5170222222222222,0.07999999999999996,0.0,0.0,0.016666666666666666,0.006666666666666667,0.06666666666666667,0.03666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,2,loss_mia,0,100,100,0.4841,0.06,0.0,0.0,0.01,0.01,0.02,0.04
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,2,loss_mia,0,100,100,0.5363,0.13999999999999996,0.0,0.0,0.02,0.01,0.1,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,2,loss_mia,0,100,100,0.5323,0.09000000000000002,0.02,0.0,0.02,0.0,0.09,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,3,loss_mia,0,300,300,0.5107777777777778,0.05666666666666664,0.0033333333333333335,0.0,0.016666666666666666,0.01,0.06,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,3,loss_mia,0,100,100,0.5359,0.09000000000000008,0.03,0.0,0.03,0.0,0.12,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,3,loss_mia,0,100,100,0.5002,0.07000000000000006,0.02,0.0,0.02,0.0,0.06,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,3,loss_mia,0,100,100,0.49899999999999994,0.07999999999999996,0.0,0.0,0.01,0.01,0.03,0.02
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,4,loss_mia,0,300,300,0.5339888888888888,0.11333333333333329,0.0033333333333333335,0.0,0.006666666666666667,0.01,0.05,0.043333333333333335
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,4,loss_mia,0,100,100,0.5413,0.15000000000000008,0.0,0.0,0.01,0.01,0.04,0.04
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,4,loss_mia,0,100,100,0.5479,0.16000000000000003,0.01,0.0,0.02,0.01,0.03,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,4,loss_mia,0,100,100,0.5116999999999999,0.10999999999999999,0.0,0.0,0.0,0.0,0.05,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,5,loss_mia,0,300,300,0.5164333333333333,0.09333333333333338,0.0,0.0,0.006666666666666667,0.01,0.05333333333333334,0.04666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,5,loss_mia,0,100,100,0.5171,0.09000000000000001,0.0,0.0,0.02,0.01,0.14,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,5,loss_mia,0,100,100,0.524,0.15000000000000002,0.0,0.0,0.01,0.01,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,5,loss_mia,0,100,100,0.5086,0.08999999999999997,0.0,0.0,0.01,0.01,0.03,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,6,loss_mia,0,300,300,0.503,0.046666666666666745,0.0,0.0,0.01,0.01,0.07666666666666666,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,6,loss_mia,0,100,100,0.4912,0.06,0.0,0.0,0.03,0.01,0.1,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,6,loss_mia,0,100,100,0.5331999999999999,0.14,0.0,0.0,0.0,0.0,0.09,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,6,loss_mia,0,100,100,0.4877,0.030000000000000027,0.01,0.0,0.03,0.01,0.07,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,7,loss_mia,0,300,300,0.5477888888888889,0.11333333333333329,0.0,0.0,0.023333333333333334,0.01,0.05,0.04666666666666667
