scheme,mode,shots,contrast,comparator_attack,reference_count,n_replicates,auc_difference_median,auc_difference_q05,auc_difference_q95,tpr_at_1pct_fpr_difference_median,tpr_at_1pct_fpr_difference_q05,tpr_at_1pct_fpr_difference_q95,tpr_at_5pct_fpr_difference_median,tpr_at_5pct_fpr_difference_q05,tpr_at_5pct_fpr_difference_q95
leave_cell_out,noisy_shot,1024,affine_minus_deconvolved_lira,deconvolved_lira,16,10,0.009922000000000042,0.005672733333333286,0.01569124444444443,0.006666666666666669,-0.0004999999999999996,0.012433333333333333,0.018333333333333326,0.009066666666666666,0.025333333333333333
leave_cell_out,noisy_shot,1024,affine_minus_empirical_channel,empirical_channel_lira,16,10,0.0022888888888888403,-0.0016034888888888043,0.006021666666666586,0.001666666666666667,-0.0034000000000000007,0.007399999999999998,-0.0006666666666666626,-0.007400000000000005,0.0059000000000000025
leave_cell_out,noisy_shot,1024,affine_minus_loss,loss_mia,16,10,0.025493333333333368,0.018188888888888997,0.032682644444444416,0.01633333333333333,0.008533333333333334,0.022,0.056666666666666664,0.05393333333333333,0.062
leave_cell_out,noisy_shot,1024,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.008653111111111167,0.0032034666666666545,0.012439199999999961,0.008,0.001999999999999999,0.014066666666666665,0.026000000000000002,0.01563333333333333,0.03036666666666667
leave_cell_out,noisy_shot,1024,affine_minus_noise_augmented,noise_augmented_lira,16,10,-0.004587111111111097,-0.007922022222222125,-0.0011797111111110593,-0.0006666666666666661,-0.002666666666666668,0.0033999999999999994,0.0010000000000000009,-0.007533333333333331,0.005400000000000001
leave_cell_out,noisy_shot,128,affine_minus_deconvolved_lira,deconvolved_lira,16,10,0.013081333333333278,0.005512733333333353,0.01656177777777772,0.013333333333333332,0.0019666666666666665,0.021966666666666662,0.02433333333333333,0.008433333333333331,0.03666666666666667
leave_cell_out,noisy_shot,128,affine_minus_empirical_channel,empirical_channel_lira,16,10,-0.001296444444444378,-0.0028916222222222622,0.0013302666666666733,0.0,-0.005466666666666667,0.0040666666666666655,0.0013333333333333253,-0.0027333333333333385,0.0062000000000000015
leave_cell_out,noisy_shot,128,affine_minus_loss,loss_mia,16,10,0.012727222222222279,-0.0076760444444444464,0.023125311111111015,0.014000000000000002,0.007633333333333332,0.018566666666666662,0.035,0.02586666666666667,0.05083333333333332
leave_cell_out,noisy_shot,128,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.006210666666666698,0.00053517777777774,0.018976911111111112,0.013,0.003433333333333334,0.021466666666666665,0.029333333333333336,0.010700000000000003,0.034
leave_cell_out,noisy_shot,128,affine_minus_noise_augmented,noise_augmented_lira,16,10,0.0027448888888888523,-0.0006496222222222403,0.007846533333333352,-0.0023333333333333314,-0.0053999999999999986,0.0006666666666666661,-0.0010000000000000009,-0.005333333333333337,0.010066666666666673
leave_cell_out,noisy_shot,512,affine_minus_deconvolved_lira,deconvolved_lira,16,10,0.008889999999999953,0.00712808888888899,0.015313311111111238,0.008666666666666666,0.003866666666666665,0.011999999999999999,0.023666666666666666,0.01070000000000001,0.037799999999999986
leave_cell_out,noisy_shot,512,affine_minus_empirical_channel,empirical_channel_lira,16,10,0.0011057777777778721,-0.0017390444444444376,0.003782822222222181,0.0,-0.004800000000000001,0.0038333333333333284,0.0016666666666666705,-0.008333333333333333,0.010499999999999995
leave_cell_out,noisy_shot,512,affine_minus_loss,loss_mia,16,10,0.021031333333333346,0.013717800000000025,0.025990822222222182,0.016,0.0123,0.02269999999999999,0.05133333333333333,0.04136666666666667,0.06043333333333333
leave_cell_out,noisy_shot,512,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.007693111111111095,0.0020320666666666766,0.01563002222222229,0.010333333333333333,0.004533333333333334,0.016666666666666666,0.025666666666666664,0.01853333333333334,0.039099999999999996
