source_label,pair_id,z_run_id,zz_run_id,n_wires,depth,reps,pad_mode,ql_ent,ql_op,ql_rev,z_train,zz_train,z_test,zz_test,z_gap,zz_gap,delta_train_abs,delta_test_abs,delta_gap_abs,mean_test_acc,mean_gap
Blobs_QNN,Blobs_QNN_z3001_zz3002,3001,3002,3,2,1,wrap,linear,crz,False,0.82,0.82,0.72,0.72,0.09999999999999998,0.09999999999999998,0.0,0.0,0.0,0.72,0.09999999999999998
Blobs_QNN,Blobs_QNN_z12001_zz12002,12001,12002,3,2,1,wrap,pairwise,crz,False,0.82,0.82,0.72,0.72,0.09999999999999998,0.09999999999999998,0.0,0.0,0.0,0.72,0.09999999999999998
Blobs_QNN,Blobs_QNN_z1371_zz1372,1371,1372,3,6,1,zero,linear,cx,False,0.88,0.88,0.7,0.7,0.18000000000000005,0.18000000000000005,0.0,0.0,0.0,0.7,0.18000000000000005
Blobs_QNN,Blobs_QNN_z10371_zz10372,10371,10372,3,6,1,zero,pairwise,cx,False,0.88,0.88,0.7,0.7,0.18000000000000005,0.18000000000000005,0.0,0.0,0.0,0.7,0.18000000000000005
Blobs_QNN,Blobs_QNN_z21451_zz21452,21451,21452,3,5,1,wrap,full,crz,False,0.9,0.9,0.7,0.7,0.20000000000000007,0.20000000000000007,0.0,0.0,0.0,0.7,0.20000000000000007
Blobs_QNN,Blobs_QNN_z23701_zz23702,23701,23702,3,5,1,wrap,full,rzz,False,0.9,0.9,0.66,0.66,0.24,0.24,0.0,0.0,0.0,0.66,0.24
Blobs_QNN,Blobs_QNN_z6511_zz6512,6511,6512,4,5,3,wrap,linear,rzz,False,0.98,0.98,0.64,0.64,0.33999999999999997,0.33999999999999997,0.0,0.0,0.0,0.64,0.33999999999999997
Blobs_QNN,Blobs_QNN_z6521_zz6522,6521,6522,4,5,3,repeatlast,linear,rzz,False,0.98,0.98,0.64,0.64,0.33999999999999997,0.33999999999999997,0.0,0.0,0.0,0.64,0.33999999999999997
Blobs_QNN,Blobs_QNN_z6531_zz6532,6531,6532,4,5,3,zero,linear,rzz,False,0.98,0.98,0.64,0.64,0.33999999999999997,0.33999999999999997,0.0,0.0,0.0,0.64,0.33999999999999997
Blobs_QNN,Blobs_QNN_z15661_zz15662,15661,15662,4,6,3,wrap,pairwise,rzz,False,0.98,0.98,0.62,0.62,0.36,0.36,0.0,0.0,0.0,0.62,0.36
Blobs_QNN,Blobs_QNN_z15671_zz15672,15671,15672,4,6,3,repeatlast,pairwise,rzz,False,0.98,0.98,0.62,0.62,0.36,0.36,0.0,0.0,0.0,0.62,0.36
Blobs_QNN,Blobs_QNN_z15681_zz15682,15681,15682,4,6,3,zero,pairwise,rzz,False,0.98,0.98,0.62,0.62,0.36,0.36,0.0,0.0,0.0,0.62,0.36
Blobs_QNN,Blobs_QNN_z481_zz482,481,482,2,5,2,wrap,linear,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z491_zz492,491,492,2,5,2,repeatlast,linear,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z501_zz502,501,502,2,5,2,zero,linear,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z9481_zz9482,9481,9482,2,5,2,wrap,pairwise,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z9491_zz9492,9491,9492,2,5,2,repeatlast,pairwise,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z9501_zz9502,9501,9502,2,5,2,zero,pairwise,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z10831_zz10832,10831,10832,4,4,2,wrap,pairwise,cx,False,0.92,0.92,0.58,0.58,0.3400000000000001,0.3400000000000001,0.0,0.0,0.0,0.58,0.3400000000000001
Blobs_QNN,Blobs_QNN_z10841_zz10842,10841,10842,4,4,2,repeatlast,pairwise,cx,False,0.92,0.92,0.58,0.58,0.3400000000000001,0.3400000000000001,0.0,0.0,0.0,0.58,0.3400000000000001
Blobs_QNN,Blobs_QNN_z10851_zz10852,10851,10852,4,4,2,zero,pairwise,cx,False,0.92,0.92,0.58,0.58,0.3400000000000001,0.3400000000000001,0.0,0.0,0.0,0.58,0.3400000000000001
Blobs_QNN,Blobs_QNN_z18481_zz18482,18481,18482,2,5,2,wrap,full,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z18491_zz18492,18491,18492,2,5,2,repeatlast,full,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z18501_zz18502,18501,18502,2,5,2,zero,full,cx,False,0.7,0.7,0.58,0.58,0.12,0.12,0.0,0.0,0.0,0.58,0.12
Blobs_QNN,Blobs_QNN_z20041_zz20042,20041,20042,4,5,4,wrap,full,cx,False,1.0,1.0,0.58,0.58,0.42000000000000004,0.42000000000000004,0.0,0.0,0.0,0.58,0.42000000000000004
