source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_dataset,meta_architecture,meta_model_type,meta_run_id,meta_model_seed,meta_data_seed,meta_seed,meta_membership_convention,meta_attack_feature_mode,meta_learning_rate,meta_n_wires,meta_depth,meta_ql_ent,meta_ql_op,meta_fm_kind,meta_reps,meta_fm_ent,meta_fm_op,meta_pad_mode,meta_vector_train,meta_vector_valid,meta_vector_test,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate,auc,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,trainable_parameters_total,trainable_parameters_quantum,trainable_parameters_classical,quantum_gate_count_total,quantum_one_qubit_gates,quantum_two_qubit_gates,gate_count_scope,gap_acc
reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/target_attack_data.pt,ok,,ARCH_eff_control_HQNN_s43,1.0,0.0090063931420445,0.975000023841858,0.11285350471735,0.959999978542328,0.095740832388401,0.0400000214576721,0=member,200,200,0.005,ARCH_eff_control_HQNN_s43,architecture_control,mnist,hqnn,hqnn,1622,43,43,43,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,19930,46,19884,0,63,48,15,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,43,MNIST,hqnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.395,0.255,0.14,200,200,200,16,100,False,43,43,eff_control|hqnn,0.01,0.5445,0.5675,0.135,0.88,0.745,19930,46,19884,63,48,15,fixed encoder plus downstream variational circuit,0.0400000214576721
reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/target_attack_data.pt,ok,,ARCH_eff_control_HQNN_s44,1.0,0.0053198556415736,0.975000023841858,0.0735174641013145,0.9700000286102296,0.0725251138210296,0.0299999713897705,0=member,200,200,0.005,ARCH_eff_control_HQNN_s44,architecture_control,mnist,hqnn,hqnn,1622,44,43,44,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,19930,46,19884,0,63,48,15,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,44,MNIST,hqnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.395,0.255,0.14,200,200,200,16,100,False,44,43,eff_control|hqnn,0.01,0.55925,0.565,0.13,0.82,0.69,19930,46,19884,63,48,15,fixed encoder plus downstream variational circuit,0.0299999713897705
reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/target_attack_data.pt,ok,,ARCH_eff_control_HQNN_s45,1.0,0.0064405654557049,0.975000023841858,0.0955401360988617,0.975000023841858,0.0719966292381286,0.024999976158142,0=member,200,200,0.005,ARCH_eff_control_HQNN_s45,architecture_control,mnist,hqnn,hqnn,1622,45,43,45,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,19930,46,19884,0,63,48,15,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,45,MNIST,hqnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.395,0.255,0.14,200,200,200,16,100,False,45,43,eff_control|hqnn,0.01,0.54095,0.535,0.0699999999999999,0.865,0.795,19930,46,19884,63,48,15,fixed encoder plus downstream variational circuit,0.024999976158142
reviewer_runs/architecture_control/ARCH_eff_control_QCNN_s43/target_attack_data.pt,ok,,ARCH_eff_control_QCNN_s43,0.8450000286102295,0.3682348728179931,0.8399999737739563,0.4352008104324341,0.8700000047683716,0.4234147369861603,-0.024999976158142,0=member,200,200,0.005,ARCH_eff_control_QCNN_s43,architecture_control,mnist,qcnn,qcnn,1622,43,43,43,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,592,394,198,0,67,52,15,fixed encoder plus downstream variational circuit,False,architecture_control,eff_control,43,MNIST,qcnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.88,0.81,0.0699999999999999,200,200,200,16,100,False,43,43,eff_control|qcnn,0.01,0.509525,0.5225,0.0449999999999999,0.205,0.16,592,394,198,67,52,15,fixed encoder plus downstream variational circuit,-0.024999976158142
reviewer_runs/architecture_control/ARCH_eff_control_QCNN_s44/target_attack_data.pt,ok,,ARCH_eff_control_QCNN_s44,0.8450000286102295,0.4248541295528412,0.7749999761581421,0.5144088864326477,0.8149999976158142,0.4928251504898071,0.0300000309944152,0=member,200,200,0.005,ARCH_eff_control_QCNN_s44,architecture_control,mnist,qcnn,qcnn,1622,44,43,44,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,592,394,198,0,67,52,15,fixed encoder plus downstream variational circuit,False,architecture_control,eff_control,44,MNIST,qcnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.88,0.81,0.0699999999999999,200,200,200,16,100,False,44,43,eff_control|qcnn,0.01,0.5155000000000001,0.5125,0.025,0.27,0.245,592,394,198,67,52,15,fixed encoder plus downstream variational circuit,0.0300000309944152
reviewer_runs/architecture_control/ARCH_eff_control_QCNN_s45/target_attack_data.pt,ok,,ARCH_eff_control_QCNN_s45,0.8100000023841858,0.4139051139354706,0.8100000023841858,0.4896832704544067,0.8100000023841858,0.4773462414741516,0.0,0=member,200,200,0.005,ARCH_eff_control_QCNN_s45,architecture_control,mnist,qcnn,qcnn,1622,45,43,45,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,592,394,198,0,67,52,15,fixed encoder plus downstream variational circuit,False,architecture_control,eff_control,45,MNIST,qcnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.88,0.81,0.0699999999999999,200,200,200,16,100,False,45,43,eff_control|qcnn,0.01,0.51665,0.4775,-0.045,0.415,0.46,592,394,198,67,52,15,fixed encoder plus downstream variational circuit,0.0
reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/target_attack_data.pt,ok,,ARCH_eff_control_QNN_s43,0.6850000023841858,0.7888308763504028,0.7200000286102295,0.744437038898468,0.6800000071525574,0.8475391864776611,0.0049999952316284,0=member,200,200,0.005,ARCH_eff_control_QNN_s43,architecture_control,mnist,qnn,qnn,1622,43,43,43,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,74,46,28,0,63,48,15,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,43,MNIST,qnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,43,43,eff_control|qnn,0.01,0.55235,0.5675,0.135,0.435,0.3,74,46,28,63,48,15,fixed encoder plus downstream variational circuit,0.0049999952316284
reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/target_attack_data.pt,ok,,ARCH_eff_control_QNN_s44,0.6800000071525574,0.7943702936172485,0.6949999928474426,0.7561028003692627,0.6549999713897705,0.7990258932113647,0.0250000357627868,0=member,200,200,0.005,ARCH_eff_control_QNN_s44,architecture_control,mnist,qnn,qnn,1622,44,43,44,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,74,46,28,0,63,48,15,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,44,MNIST,qnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,44,43,eff_control|qnn,0.01,0.49755,0.4599999999999999,-0.0799999999999999,0.505,0.585,74,46,28,63,48,15,fixed encoder plus downstream variational circuit,0.0250000357627868
reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/target_attack_data.pt,ok,,ARCH_eff_control_QNN_s45,0.7049999833106995,0.7817442417144775,0.699999988079071,0.7498140931129456,0.6650000214576721,0.8320400714874268,0.0399999618530273,0=member,200,200,0.005,ARCH_eff_control_QNN_s45,architecture_control,mnist,qnn,qnn,1622,45,43,45,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,74,46,28,0,63,48,15,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,45,MNIST,qnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,45,43,eff_control|qnn,0.01,0.5413749999999999,0.5449999999999999,0.0899999999999999,0.615,0.525,74,46,28,63,48,15,fixed encoder plus downstream variational circuit,0.0399999618530273
reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/target_attack_data.pt,ok,,ARCH_eff_control_mlp_qnn_s43,0.9049999713897704,0.2590900659561157,0.8199999928474426,0.5780705809593201,0.7749999761581421,0.695004403591156,0.1299999952316284,0=member,200,200,0.005,ARCH_eff_control_mlp_qnn_s43,architecture_control,mnist,mlp_qnn,mlp_qnn,1622,43,43,43,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,96,0,96,0,46,36,10,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,43,MNIST,mlp_qnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,43,43,eff_control|mlp_qnn,0.01,0.5643124999999999,0.5525,0.1049999999999999,0.825,0.72,96,0,96,0,0,0,classical parameter-matched MLP; no quantum main stack,0.1299999952316284
