target_id,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate,attack_path,model_path,checkpoint_tensor_elements_total,checkpoint_tensor_elements_quantum_name,checkpoint_tensor_elements_classical_name,checkpoint_tensor_elements_unclassified_name,trainable_parameters_total,trainable_parameters_quantum,trainable_parameters_classical,trainable_parameters_unclassified,quantum_gate_count_total,quantum_one_qubit_gates,quantum_two_qubit_gates,gate_counts_json,gate_count_scope,qcnn_frontend_included,circuit_depth,parameter_count_method,gate_count_method,resource_count_source,exact_resource_counts_available,resource_error
ARCH_low_reupload_QNN_s43,architecture_control,low_reupload,43,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,43,43,low_reupload|qnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_QNN_s43/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_QNN_s43/target_model.pt,74,46,28,0,74,46,28,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_QNN_s44,architecture_control,low_reupload,44,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,44,43,low_reupload|qnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_QNN_s44/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_QNN_s44/target_model.pt,74,46,28,0,74,46,28,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_QNN_s45,architecture_control,low_reupload,45,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,45,43,low_reupload|qnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_QNN_s45/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_QNN_s45/target_model.pt,74,46,28,0,74,46,28,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_HQNN_s43,architecture_control,low_reupload,43,MNIST,HQNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.64,0.63,0.01,200,200,200,16,100,False,43,43,low_reupload|hqnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s43/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s43/target_model.pt,19930,46,19884,0,19930,46,19884,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_HQNN_s44,architecture_control,low_reupload,44,MNIST,HQNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.64,0.63,0.01,200,200,200,16,100,False,44,43,low_reupload|hqnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s44/target_model.pt,19930,46,19884,0,19930,46,19884,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_HQNN_s45,architecture_control,low_reupload,45,MNIST,HQNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.64,0.63,0.01,200,200,200,16,100,False,45,43,low_reupload|hqnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_HQNN_s45/target_model.pt,19930,46,19884,0,19930,46,19884,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_QCNN_s43,architecture_control,low_reupload,43,MNIST,QCNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.85,0.81,0.0399999999999999,200,200,200,16,100,False,43,43,low_reupload|qcnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s43/target_model.pt,592,394,198,0,592,394,198,0,86,76,10,"{""crz"": 10, ""rx"": 12, ""ry"": 16, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,False,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_QCNN_s44,architecture_control,low_reupload,44,MNIST,QCNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.85,0.81,0.0399999999999999,200,200,200,16,100,False,44,43,low_reupload|qcnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s44/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s44/target_model.pt,592,394,198,0,592,394,198,0,86,76,10,"{""crz"": 10, ""rx"": 12, ""ry"": 16, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,False,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_QCNN_s45,architecture_control,low_reupload,45,MNIST,QCNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.85,0.81,0.0399999999999999,200,200,200,16,100,False,45,43,low_reupload|qcnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_QCNN_s45/target_model.pt,592,394,198,0,592,394,198,0,86,76,10,"{""crz"": 10, ""rx"": 12, ""ry"": 16, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,False,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_low_reupload_mlp_qnn_s43,architecture_control,low_reupload,43,MNIST,mlp_qnn,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,43,43,low_reupload|mlp_qnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s43/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s43/target_model.pt,96,0,96,0,96,0,96,0,0,0,0,{},classical parameter-matched MLP; no quantum main stack,False,,exact model.named_parameters count exported during target run,classical MLP override; no quantum execution stack,attack payload resource_counts,True,
