experiment,dataset,architecture,structural_cell_id,role,risk_level,fm_kind,reps,depth,attack,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,crossfit_tpr_count,crossfit_tpr_mean,crossfit_tpr_std,crossfit_fpr_count,crossfit_fpr_mean,crossfit_fpr_std,error_bar_type
architecture_control,mnist,hqnn,eff_control|hqnn,eff_control,,eff_su2,1,2,loss,3,0.5482333333333334,0.009704423390049167,3,0.5558333333333333,0.018085445345175526,3,0.11166666666666665,0.036170890690351204,3,0.855,0.031224989991992018,3,0.7433333333333333,0.05251983752196246,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,hqnn,high_reupload|hqnn,high_reupload,high,zz,5,6,loss,3,0.563475,0.018084817527417876,3,0.5525000000000001,0.013919410907075052,3,0.10499999999999998,0.027838821814150136,3,0.7733333333333333,0.044814432199162466,3,0.6683333333333333,0.020207259421636887,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,hqnn,low_reupload|hqnn,low_reupload,low,z,1,2,loss,3,0.54215,0.020877604627926084,3,0.5583333333333333,0.04536885862938737,3,0.11666666666666665,0.09073771725877475,3,0.8300000000000001,0.12134661099511598,3,0.7133333333333334,0.033291640592396886,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,mlp_qnn,eff_control|mlp_qnn,eff_control,,eff_su2,1,2,loss,3,0.5671458333333333,0.005136486112444319,3,0.5516666666666666,0.008779711460710663,3,0.10333333333333335,0.01755942292142119,3,0.7633333333333333,0.08220908303425681,3,0.66,0.06873863542433761,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,mlp_qnn,high_reupload|mlp_qnn,high_reupload,high,zz,5,6,loss,3,0.59165,0.010914525871516352,3,0.5775,0.015612494995996005,3,0.155,0.031224989991992,3,0.79,0.12489995996796802,3,0.635,0.11258330249197701,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,mlp_qnn,low_reupload|mlp_qnn,low_reupload,low,z,1,2,loss,3,0.5671458333333333,0.005136486112444319,3,0.5516666666666666,0.008779711460710663,3,0.10333333333333335,0.01755942292142119,3,0.7633333333333333,0.08220908303425681,3,0.66,0.06873863542433761,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,qcnn,eff_control|qcnn,eff_control,,eff_su2,1,2,loss,3,0.5138916666666667,0.0038251089309107905,3,0.5041666666666667,0.023629078131263002,3,0.008333333333333323,0.04725815626252611,3,0.29666666666666663,0.10750968948580093,3,0.28833333333333333,0.15462319791458634,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,qcnn,high_reupload|qcnn,high_reupload,high,zz,5,6,loss,3,0.5953666666666666,0.004792268078199905,3,0.6150000000000001,0.016393596310754974,3,0.23000000000000007,0.03278719262150999,3,0.8766666666666666,0.06251666444503683,3,0.6466666666666666,0.0709459888459759,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,qcnn,low_reupload|qcnn,low_reupload,low,z,1,2,loss,3,0.527525,0.013733080499290746,3,0.5175000000000001,0.007499999999999993,3,0.035000000000000024,0.015000000000000022,3,0.375,0.2775337817275584,3,0.34,0.26253571185650154,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,qnn,eff_control|qnn,eff_control,,eff_su2,1,2,loss,3,0.530425,0.02899460079049197,3,0.5241666666666666,0.0566972956439135,3,0.04833333333333334,0.11339459128782699,3,0.5183333333333334,0.09073771725877468,3,0.47000000000000003,0.15024979201316715,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,qnn,high_reupload|qnn,high_reupload,high,zz,5,6,loss,3,0.6332833333333333,0.019781815091981136,3,0.595,0.010000000000000009,3,0.19000000000000003,0.020000000000000073,3,0.7399999999999999,0.11169153951844335,3,0.5499999999999999,0.11821590417536891,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,mnist,qnn,low_reupload|qnn,low_reupload,low,z,1,2,loss,3,0.5307166666666667,0.019162338279378494,3,0.5083333333333333,0.015069284433354245,3,0.01666666666666668,0.030138568866708567,3,0.6966666666666667,0.07285830998131466,3,0.68,0.0435889894354067,mean ± sample SD across independent target-model seeds; fixed data seed
