target_id,dataset,fm_kind,reps,n_wires,train_train_similarity,train_test_similarity,test_test_similarity,within_class_similarity,between_class_similarity,mmd2_train_test,kernel_label_alignment,effective_rank
GEOM_Moons_z_r1,Moons,z,1,4,0.35821513474589645,0.3736656606197357,0.3811633424084596,0.46976354718208313,0.2745921015739441,-0.007952844085115318,0.3899773823434483,6.738191604614258
GEOM_Moons_z_r5,Moons,z,5,4,0.2712168560606061,0.2835560441017151,0.2927414279513889,0.2925523519515991,0.27308860421180725,-0.0031538041914351833,0.06905188851930864,16.523305892944336
GEOM_Moons_zz_r1,Moons,zz,1,4,0.3290460759943182,0.34489086270332336,0.3530469243213384,0.4281521737575531,0.25865626335144043,-0.007688725090990167,0.35997546254753127,8.315122604370117
GEOM_Moons_zz_r5,Moons,zz,5,4,0.17710110134548612,0.19323457777500153,0.20913204308712122,0.2148818075656891,0.17168699204921722,-0.0002360111173956847,0.13933479566847937,25.514041900634766
GEOM_Moons_eff_su2_r1,Moons,eff_su2,1,4,0.23094805476641414,0.24607287347316742,0.2539915019333965,0.26776018738746643,0.22103537619113922,-0.007206190246524247,0.12651059516769558,15.617910385131836
GEOM_Moons_eff_su2_r5,Moons,eff_su2,5,4,0.08356092664930556,0.08586618304252625,0.08840486776949179,0.09929675608873367,0.07268549501895905,0.00023342833374484506,0.13937584540896658,66.23788452148438
GEOM_MNIST_z_r1,MNIST,z,1,6,0.2563198143544823,0.24995972216129303,0.25910632200915407,0.3980758786201477,0.20669226348400116,0.015506692041050263,0.4532751387540762,21.76873779296875
GEOM_MNIST_z_r5,MNIST,z,5,6,0.2653320805713384,0.2793395519256592,0.2945889559659091,0.30003446340560913,0.2729891240596771,0.0012419326859292035,0.13025226588334146,28.937698364257812
GEOM_MNIST_zz_r1,MNIST,zz,1,6,0.23397335168087122,0.236830472946167,0.2505392055318813,0.3666902482509613,0.19799059629440308,0.010851611320418564,0.4255524861245475,25.52312469482422
GEOM_MNIST_zz_r5,MNIST,zz,5,6,0.041291158656881315,0.04601918160915375,0.05115831779711174,0.06668194383382797,0.03940500319004059,0.000411113235685559,0.21592104374434865,136.3041534423828
GEOM_MNIST_eff_su2_r1,MNIST,eff_su2,1,6,0.10813820578835227,0.1043144166469574,0.1095278961489899,0.20624610781669617,0.07399903237819672,0.009037268643427382,0.3958018181781807,52.09247970581055
GEOM_MNIST_eff_su2_r5,MNIST,eff_su2,5,6,0.023486597851069286,0.023004641756415367,0.02307910341205019,0.04035814106464386,0.017519447952508926,0.0005564177502887374,0.2159588144574138,160.85394287109375
