source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_dataset,meta_architecture,meta_model_type,meta_run_id,meta_model_seed,meta_data_seed,meta_seed,meta_membership_convention,meta_attack_feature_mode,meta_learning_rate,meta_n_wires,meta_depth,meta_ql_ent,meta_ql_op,meta_fm_kind,meta_reps,meta_fm_ent,meta_fm_op,meta_pad_mode,meta_vector_train,meta_vector_valid,meta_vector_test,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s43/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r1_d2_s43,0.7649999856948853,0.5837517976760864,0.7549999952316284,0.5832058787345886,0.7300000190734863,0.6668441891670227,0.034999966621398926,0=member,200,200,0.005,MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,mnist,qnn,qnn,1622,43,43,43,0=member,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,74,46,28,0,63,48,15,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r1_d2,43,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,43,43,eff_su2_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s44/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r1_d2_s44,0.7400000095367432,0.559256911277771,0.6850000023841858,0.603088915348053,0.6949999928474426,0.6747785806655884,0.04500001668930054,0=member,200,200,0.005,MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,mnist,qnn,qnn,1622,44,43,44,0=member,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,74,46,28,0,63,48,15,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r1_d2,44,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,44,43,eff_su2_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r1_d2_s45,0.7400000095367432,0.5452520847320557,0.7400000095367432,0.5619588494300842,0.75,0.6415758728981018,-0.009999990463256836,0=member,200,200,0.005,MNIST_QNN_eff_su2_r1_d2_s45,multiseed_factorial,mnist,qnn,qnn,1622,45,43,45,0=member,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,74,46,28,0,63,48,15,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r1_d2,45,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,45,43,eff_su2_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r1_d6_s43,0.824999988079071,0.4945637583732605,0.7850000262260437,0.5348749756813049,0.7649999856948853,0.6247600317001343,0.06000000238418579,0=member,200,200,0.005,MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,mnist,qnn,qnn,1646,43,43,43,0=member,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,166,138,28,0,155,120,35,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r1_d6,43,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,43,43,eff_su2_r1_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r1_d6_s44,0.7900000214576721,0.49132323265075684,0.7850000262260437,0.5279944539070129,0.7649999856948853,0.593393087387085,0.025000035762786865,0=member,200,200,0.005,MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,mnist,qnn,qnn,1646,44,43,44,0=member,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,166,138,28,0,155,120,35,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r1_d6,44,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,44,43,eff_su2_r1_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s45/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r1_d6_s45,0.8149999976158142,0.5045784115791321,0.7799999713897705,0.5427502989768982,0.7850000262260437,0.5975361466407776,0.029999971389770508,0=member,200,200,0.005,MNIST_QNN_eff_su2_r1_d6_s45,multiseed_factorial,mnist,qnn,qnn,1646,45,43,45,0=member,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,166,138,28,0,155,120,35,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r1_d6,45,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,45,43,eff_su2_r1_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r5_d2_s43,0.8399999737739563,0.38980838656425476,0.7799999713897705,0.6465274095535278,0.7400000095367432,0.6863507628440857,0.09999996423721313,0=member,200,200,0.005,MNIST_QNN_eff_su2_r5_d2_s43,multiseed_factorial,mnist,qnn,qnn,1766,43,43,43,0=member,pv+stats,0.05,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,200,74,46,28,0,131,96,35,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r5_d2,43,MNIST,QNN,1766,eff_su2,6,5,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,43,43,eff_su2_r5_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r5_d2_s44,0.8600000143051147,0.3909563422203064,0.7900000214576721,0.5816798210144043,0.7549999952316284,0.6768193244934082,0.10500001907348633,0=member,200,200,0.005,MNIST_QNN_eff_su2_r5_d2_s44,multiseed_factorial,mnist,qnn,qnn,1766,44,43,44,0=member,pv+stats,0.05,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,200,74,46,28,0,131,96,35,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r5_d2,44,MNIST,QNN,1766,eff_su2,6,5,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,44,43,eff_su2_r5_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r5_d2_s45,0.875,0.37160587310791016,0.7850000262260437,0.6007064580917358,0.7099999785423279,0.7189189791679382,0.16500002145767212,0=member,200,200,0.005,MNIST_QNN_eff_su2_r5_d2_s45,multiseed_factorial,mnist,qnn,qnn,1766,45,43,45,0=member,pv+stats,0.05,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,200,74,46,28,0,131,96,35,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r5_d2,45,MNIST,QNN,1766,eff_su2,6,5,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,45,43,eff_su2_r5_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r5_d6_s43,0.9750000238418579,0.17645558714866638,0.8349999785423279,0.45408114790916443,0.7699999809265137,0.6614090204238892,0.20500004291534424,0=member,200,200,0.005,MNIST_QNN_eff_su2_r5_d6_s43,multiseed_factorial,mnist,qnn,qnn,1790,43,43,43,0=member,pv+stats,0.05,6,6,linear,crz,eff_su2,5,linear,cx,wrap,200,200,200,166,138,28,0,223,168,55,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r5_d6,43,MNIST,QNN,1790,eff_su2,6,5,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,43,43,eff_su2_r5_d6,0.05
