experiment,dataset,architecture,structural_cell_id,role,fm_kind,reps,depth,n_wires,train_acc_count,train_acc_mean,train_acc_std,valid_acc_count,valid_acc_mean,valid_acc_std,test_acc_count,test_acc_mean,test_acc_std,train_loss_count,train_loss_mean,train_loss_std,valid_loss_count,valid_loss_mean,valid_loss_std,test_loss_count,test_loss_mean,test_loss_std,gap_count,gap_mean,gap_std,error_bar_type
multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,1,2,6,3,0.7483333349227905,0.014433742964637562,3,0.7266666690508524,0.03685557252363643,3,0.725000003973643,0.027838827380914186,3,0.5627535978953043,0.01948658736590683,3,0.5827512145042419,0.020568802110863947,3,0.6610662142435709,0.01733908003428399,3,0.02333333094914754,0.029297320485449294,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,1,6,6,3,0.8100000023841858,0.01802773918471171,3,0.7833333412806193,0.0028867830056852023,3,0.7716666658719381,0.01154702878446774,3,0.4968218008677165,0.006910065776523939,3,0.5352065761884054,0.007383509335258267,3,0.6052297552426656,0.01704010002534517,3,0.03833333651224772,0.018929689553005075,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,5,2,6,3,0.8583333293596903,0.01755943729128059,3,0.7850000063578287,0.005000025033980411,3,0.7349999944368998,0.022912889140357814,3,0.3841235339641571,0.010855796863016461,3,0.6096378962198893,0.033333622292103834,3,0.694029688835144,0.022075317873380285,3,0.12333333492279053,0.03617090975063382,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,5,6,6,3,0.9616666634877523,0.015275263762519928,3,0.8383333285649618,0.005773531598612714,3,0.7799999912579855,0.01322877773205642,3,0.18089974919954935,0.004925347819795652,3,0.4131188690662384,0.04907133963883891,3,0.6161497632662455,0.04541400890446626,3,0.18166667222976685,0.02843123405370367,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,z_r1_d2,z_r1_d2,z,1,2,6,3,0.8183333476384481,0.023094023156177788,3,0.7416666746139526,0.0028867485929275124,3,0.7583333253860474,0.020207240150492585,3,0.41352009773254395,0.019782308817442577,3,0.6098597447077433,0.01940701255738092,3,0.6440578500429789,0.02497290185237337,3,0.06000002225240072,0.04092675759695855,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,z_r1_d6,z_r1_d6,z,1,6,6,3,0.9116666515668234,0.01154702878446774,3,0.7816666563351949,0.017559437291280563,3,0.7450000047683716,0.02499997615814209,3,0.25263551870981854,0.03677294340026101,3,0.5518675645192465,0.02060354399212089,3,0.6421453356742859,0.05138488579890766,3,0.16666664679845175,0.016072714307675703,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,z_r5_d2,z_r5_d2,z,5,2,6,3,0.6383333206176758,0.016072735940151513,3,0.5233333309491476,0.02020727210520019,3,0.42666666706403095,0.025658015637624647,3,0.8835567037264506,0.03830792662352505,3,1.1673411130905151,0.010384823373351443,3,1.3688453038533528,0.08248763987189182,3,0.2116666535536448,0.0292973204854493,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,z_r5_d6,z_r5_d6,z,5,6,6,3,0.7433333396911621,0.0028867485929275124,3,0.5166666805744171,0.03617090769079674,3,0.4449999928474426,0.004999995231628418,3,0.6823623975118002,0.04182082950307147,3,1.235883394877116,0.07995981970357903,3,1.3665459156036377,0.04515416675988812,3,0.2983333468437195,0.0028867485929275124,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,zz_r1_d2,zz_r1_d2,zz,1,2,6,3,0.8200000127156576,0.03000000119209783,3,0.7200000087420145,0.02000001072884346,3,0.703333338101705,0.03055050151141527,3,0.45107951760292053,0.03834088207051588,3,0.6811566154162089,0.0488009467848798,3,0.7393785913785299,0.05082328568384552,3,0.11666667461395264,0.025166149995169924,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,zz_r1_d6,zz_r1_d6,zz,1,6,6,3,0.9266666769981384,0.010408320071173668,3,0.75,0.021794473932853515,3,0.721666673819224,0.012583073023894185,3,0.24082968135674795,0.017261328766695266,3,0.6217708388964335,0.016707765269435976,3,0.7640161116917928,0.006502976705711622,3,0.2050000031789144,0.017320525970322777,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,zz_r5_d2,zz_r5_d2,zz,5,2,6,3,0.703333338101705,0.01527527026590739,3,0.501666655143102,0.025657995311002248,3,0.5199999809265137,0.009999990463256836,3,0.7736924290657043,0.031143148178240567,3,1.2860796054204304,0.041365408359597136,3,1.166276176770528,0.01923273193163178,3,0.18333335717519125,0.02516612236327449,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,MNIST,QNN,zz_r5_d6,zz_r5_d6,zz,5,6,6,3,0.8883333404858907,0.041633313690031516,3,0.5449999968210856,0.03499999642372556,3,0.5383333365122477,0.01607276993407799,3,0.37362464269002277,0.04696299247487026,3,1.246564229329427,0.03200200828922208,3,1.3486303091049194,0.054763615354900215,3,0.350000003973643,0.0349999879087825,mean ± sample SD across independent target-model seeds; fixed data seed
