target_id,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate,attack_path,model_path,checkpoint_tensor_elements_total,checkpoint_tensor_elements_quantum_name,checkpoint_tensor_elements_classical_name,checkpoint_tensor_elements_unclassified_name,trainable_parameters_total,trainable_parameters_quantum,trainable_parameters_classical,trainable_parameters_unclassified,quantum_gate_count_total,quantum_one_qubit_gates,quantum_two_qubit_gates,gate_counts_json,gate_count_scope,qcnn_frontend_included,circuit_depth,parameter_count_method,gate_count_method,resource_count_source,exact_resource_counts_available,resource_error
MNIST_QNN_z_r1_d2_s43,multiseed_factorial,z_r1_d2,43,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,43,43,z_r1_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s43/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s43/target_model.pt,74,46,28,0,74,46,28,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r1_d2_s44,multiseed_factorial,z_r1_d2,44,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,44,43,z_r1_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s44/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s44/target_model.pt,74,46,28,0,74,46,28,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r1_d2_s45,multiseed_factorial,z_r1_d2,45,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,45,43,z_r1_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s45/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s45/target_model.pt,74,46,28,0,74,46,28,0,82,72,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r1_d6_s43,multiseed_factorial,z_r1_d6,43,MNIST,QNN,206,z,6,1,wrap,linear,,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False,43,43,z_r1_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s43/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s43/target_model.pt,166,138,28,0,166,138,28,0,174,144,30,"{""crz"": 30, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r1_d6_s44,multiseed_factorial,z_r1_d6,44,MNIST,QNN,206,z,6,1,wrap,linear,,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False,44,43,z_r1_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s44/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s44/target_model.pt,166,138,28,0,166,138,28,0,174,144,30,"{""crz"": 30, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r1_d6_s45,multiseed_factorial,z_r1_d6,45,MNIST,QNN,206,z,6,1,wrap,linear,,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False,45,43,z_r1_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s45/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s45/target_model.pt,166,138,28,0,166,138,28,0,174,144,30,"{""crz"": 30, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 18, ""u3"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r5_d2_s43,multiseed_factorial,z_r5_d2,43,MNIST,QNN,326,z,6,5,wrap,linear,,2,linear,crz,False,0.59,0.365,0.2249999999999999,200,200,200,16,100,False,43,43,z_r5_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s43/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s43/target_model.pt,74,46,28,0,74,46,28,0,226,216,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 90, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r5_d2_s44,multiseed_factorial,z_r5_d2,44,MNIST,QNN,326,z,6,5,wrap,linear,,2,linear,crz,False,0.59,0.365,0.2249999999999999,200,200,200,16,100,False,44,43,z_r5_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_model.pt,74,46,28,0,74,46,28,0,226,216,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 90, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r5_d2_s45,multiseed_factorial,z_r5_d2,45,MNIST,QNN,326,z,6,5,wrap,linear,,2,linear,crz,False,0.59,0.365,0.2249999999999999,200,200,200,16,100,False,45,43,z_r5_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s45/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s45/target_model.pt,74,46,28,0,74,46,28,0,226,216,10,"{""crz"": 10, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 90, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_z_r5_d6_s43,multiseed_factorial,z_r5_d6,43,MNIST,QNN,350,z,6,5,wrap,linear,,6,linear,crz,False,0.765,0.415,0.35,200,200,200,16,100,False,43,43,z_r5_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_model.pt,166,138,28,0,166,138,28,0,318,288,30,"{""crz"": 30, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 90, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
