target_id,status,gpu,seconds,output_csv,log_path,return_code,error
GEOM_Moons_z_r5_ds44,ok,1,9.903,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r5_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r5_ds44/geometry.log,0,
GEOM_Moons_z_r5_ds45,ok,6,10.831,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r5_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r5_ds45/geometry.log,0,
GEOM_Moons_z_r1_ds45,ok,5,10.954,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r1_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r1_ds45/geometry.log,0,
GEOM_Moons_zz_r1_ds43,ok,4,12.038,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r1_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r1_ds43/geometry.log,0,
GEOM_Moons_z_r1_ds43,ok,3,12.274,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r1_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r1_ds43/geometry.log,0,
GEOM_Moons_z_r1_ds44,ok,0,12.447,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r1_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r1_ds44/geometry.log,0,
GEOM_Moons_zz_r1_ds44,ok,7,12.642,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r1_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r1_ds44/geometry.log,0,
GEOM_Moons_z_r5_ds43,ok,2,13.514,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r5_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_z_r5_ds43/geometry.log,0,
GEOM_Moons_zz_r1_ds45,ok,1,9.749,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r1_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r1_ds45/geometry.log,0,
GEOM_Moons_zz_r5_ds44,ok,5,10.519,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r5_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r5_ds44/geometry.log,0,
GEOM_Moons_zz_r5_ds43,ok,6,11.233,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r5_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r5_ds43/geometry.log,0,
GEOM_Moons_eff_su2_r1_ds44,ok,0,9.789,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r1_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r1_ds44/geometry.log,0,
GEOM_Moons_eff_su2_r1_ds43,ok,3,10.074,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r1_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r1_ds43/geometry.log,0,
GEOM_Moons_eff_su2_r1_ds45,ok,7,9.971,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r1_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r1_ds45/geometry.log,0,
GEOM_Moons_zz_r5_ds45,ok,4,11.589,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r5_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_zz_r5_ds45/geometry.log,0,
GEOM_Moons_eff_su2_r5_ds43,ok,2,10.318,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r5_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r5_ds43/geometry.log,0,
GEOM_Moons_eff_su2_r5_ds44,ok,1,10.063,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r5_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r5_ds44/geometry.log,0,
GEOM_Moons_eff_su2_r5_ds45,ok,5,8.672,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r5_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_Moons_eff_su2_r5_ds45/geometry.log,0,
GEOM_MNIST_z_r1_ds43,ok,6,13.308,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r1_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r1_ds43/geometry.log,0,
GEOM_MNIST_z_r1_ds44,ok,0,13.516,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r1_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r1_ds44/geometry.log,0,
GEOM_MNIST_z_r1_ds45,ok,3,13.582,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r1_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r1_ds45/geometry.log,0,
GEOM_MNIST_z_r5_ds43,ok,7,17.8,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r5_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r5_ds43/geometry.log,0,
GEOM_MNIST_z_r5_ds45,ok,2,17.375,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r5_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r5_ds45/geometry.log,0,
GEOM_MNIST_z_r5_ds44,ok,4,18.038,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r5_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_z_r5_ds44/geometry.log,0,
GEOM_MNIST_zz_r1_ds44,ok,5,12.89,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r1_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r1_ds44/geometry.log,0,
GEOM_MNIST_zz_r1_ds43,ok,1,14.671,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r1_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r1_ds43/geometry.log,0,
GEOM_MNIST_zz_r1_ds45,ok,6,14.443,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r1_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r1_ds45/geometry.log,0,
GEOM_MNIST_zz_r5_ds43,ok,0,14.722,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r5_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r5_ds43/geometry.log,0,
GEOM_MNIST_zz_r5_ds44,ok,3,14.907,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r5_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r5_ds44/geometry.log,0,
GEOM_MNIST_eff_su2_r1_ds43,ok,2,12.947,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r1_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r1_ds43/geometry.log,0,
GEOM_MNIST_eff_su2_r1_ds44,ok,4,12.676,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r1_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r1_ds44/geometry.log,0,
GEOM_MNIST_eff_su2_r1_ds45,ok,5,12.204,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r1_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r1_ds45/geometry.log,0,
GEOM_MNIST_zz_r5_ds45,ok,7,15.477,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r5_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_zz_r5_ds45/geometry.log,0,
GEOM_MNIST_eff_su2_r5_ds43,ok,1,14.768,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r5_ds43/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r5_ds43/geometry.log,0,
GEOM_MNIST_eff_su2_r5_ds45,ok,0,12.724,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r5_ds45/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r5_ds45/geometry.log,0,
GEOM_MNIST_eff_su2_r5_ds44,ok,6,13.943,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r5_ds44/geometry.csv,reviewer_results/geometry_multiseed/runs/GEOM_MNIST_eff_su2_r5_ds44/geometry.log,0,
