fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.99424356
0.0,0.05,0.99343383
0.025,0.05,0.9158634
0.025,0.1,0.744174
0.05,0.1,0.71245855
0.05,0.175,0.64456743
0.075,0.175,0.6422965
0.075,0.2,0.5813678
0.1,0.2,0.5807176
0.1,0.3,0.570405
0.175,0.3,0.5680056
0.175,0.325,0.5676418
0.25,0.325,0.56485397
0.25,0.35,0.56128067
0.375,0.35,0.5339438
0.375,0.375,0.5005161
0.4,0.375,0.49837238
0.4,0.45,0.4874059
0.45,0.45,0.4782163
0.45,0.5,0.4778156
0.5,0.5,0.47596264
0.5,0.6,0.46667594
0.525,0.6,0.46665415
0.525,0.675,0.45804203
0.55,0.675,0.45774466
0.55,0.7,0.45740592
0.575,0.7,0.45700562
0.575,0.725,0.45569804
0.65,0.725,0.4516781
0.65,0.75,0.4474082
0.7,0.75,0.44393352
0.7,0.8,0.44296363
0.725,0.8,0.44230038
0.725,0.825,0.44185415
0.8,0.825,0.43719742
0.8,0.925,0.42401868
0.825,0.925,0.40345407
0.825,0.95,0.40307117
0.875,0.95,0.38868597
0.875,1.0,0.37487054
1.0,1.0,0.012995305
