fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.8298861
0.025,0.025,0.7965163
0.025,0.05,0.77345484
0.075,0.05,0.71204144
0.075,0.225,0.6135015
0.1,0.225,0.6123266
0.1,0.275,0.58742446
0.125,0.275,0.5871763
0.125,0.325,0.56852645
0.2,0.325,0.5500033
0.2,0.35,0.5495913
0.225,0.35,0.537851
0.225,0.375,0.5314548
0.35,0.375,0.4996296
0.35,0.5,0.47932968
0.375,0.5,0.4757978
0.375,0.525,0.47253087
0.45,0.525,0.4618682
0.45,0.6,0.45337838
0.475,0.6,0.45089352
0.475,0.675,0.44173646
0.55,0.675,0.43072152
0.55,0.7,0.4269893
0.575,0.7,0.42492414
0.575,0.85,0.39508557
0.6,0.85,0.3861305
0.6,0.875,0.384811
0.7,0.875,0.35585338
0.7,0.9,0.35476837
0.9,0.9,0.26087108
0.9,0.925,0.2501865
0.925,0.925,0.23338734
0.925,0.95,0.2236654
0.95,0.95,0.21261176
0.95,1.0,0.12012345
1.0,1.0,0.049191236
