fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.58849186
0.025,0.025,0.5823419
0.025,0.175,0.55122894
0.1,0.175,0.54915833
0.1,0.2,0.5481454
0.225,0.2,0.5460771
0.225,0.275,0.5460229
0.3,0.275,0.54590803
0.3,0.375,0.5456115
0.325,0.375,0.545599
0.325,0.425,0.54441875
0.475,0.425,0.5400928
0.475,0.475,0.5339685
0.525,0.475,0.5277915
0.525,0.5,0.5277911
0.55,0.5,0.52274376
0.55,0.525,0.5216305
0.575,0.525,0.52021533
0.575,0.625,0.5092181
0.625,0.625,0.506388
0.625,0.725,0.44490528
0.65,0.725,0.44286525
0.65,0.75,0.44176194
0.725,0.75,0.3964462
0.725,0.775,0.3919705
0.75,0.775,0.38881817
0.75,0.825,0.38673827
0.8,0.825,0.38620284
0.8,0.875,0.38240573
0.825,0.875,0.3799759
0.825,0.9,0.37788445
0.85,0.9,0.36589548
0.85,0.95,0.35884225
0.875,0.95,0.35726616
0.875,1.0,0.34149343
1.0,1.0,0.29026395
