fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.6973518
0.075,0.0,0.6858329
0.075,0.025,0.67854464
0.15,0.025,0.6473491
0.15,0.15,0.57811916
0.175,0.15,0.5728984
0.175,0.175,0.56645113
0.2,0.175,0.56306046
0.2,0.225,0.55929774
0.225,0.225,0.5533538
0.225,0.25,0.5486647
0.325,0.25,0.5336656
0.325,0.275,0.5328743
0.35,0.275,0.53192174
0.35,0.325,0.53071994
0.375,0.325,0.53065825
0.375,0.35,0.52939916
0.425,0.35,0.52928746
0.425,0.4,0.527979
0.475,0.4,0.5261852
0.475,0.45,0.5241522
0.55,0.45,0.5198865
0.55,0.475,0.51156604
0.575,0.475,0.5071637
0.575,0.5,0.5041163
0.6,0.5,0.5020229
0.6,0.575,0.4940371
0.65,0.575,0.49175218
0.65,0.625,0.48563915
0.675,0.625,0.4845683
0.675,0.65,0.48083806
0.725,0.65,0.47077724
0.725,0.75,0.45097852
0.75,0.75,0.44941404
0.75,0.775,0.44894454
0.8,0.775,0.44664702
0.8,0.825,0.44533223
0.875,0.825,0.44176924
0.875,0.9,0.44073647
0.9,0.9,0.4406247
0.9,0.975,0.44016203
0.925,0.975,0.4208935
0.925,1.0,0.41083077
1.0,1.0,0.05898797
