fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.7624675
0.025,0.025,0.75604
0.025,0.05,0.68678063
0.05,0.05,0.65464723
0.05,0.175,0.62951565
0.1,0.175,0.62180406
0.1,0.2,0.6204993
0.225,0.2,0.59777033
0.225,0.225,0.59107536
0.25,0.225,0.58993125
0.25,0.425,0.57368773
0.3,0.425,0.57248276
0.3,0.45,0.57247156
0.35,0.45,0.52433413
0.35,0.5,0.5209821
0.375,0.5,0.5164003
0.375,0.525,0.5116882
0.4,0.525,0.5107576
0.4,0.575,0.50894207
0.45,0.575,0.5071646
0.45,0.675,0.5036171
0.475,0.675,0.50315243
0.475,0.7,0.5020022
0.5,0.7,0.50087535
0.5,0.725,0.50052583
0.525,0.725,0.4979872
0.525,0.75,0.49518687
0.55,0.75,0.48242933
0.55,0.775,0.47892186
0.575,0.775,0.47604153
0.575,0.8,0.4757898
0.6,0.8,0.47422302
0.6,0.825,0.46801838
0.675,0.825,0.42537314
0.675,0.9,0.4091439
0.725,0.9,0.38447165
0.725,0.925,0.37372908
0.75,0.925,0.36891854
0.75,0.95,0.3507275
0.775,0.95,0.34117204
0.775,0.975,0.33626917
0.825,0.975,0.3215494
0.825,1.0,0.31140232
1.0,1.0,0.18405353
