fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.6706671
0.025,0.1,0.621135
0.125,0.1,0.6057691
0.125,0.125,0.6045656
0.15,0.125,0.6030084
0.15,0.2,0.59427714
0.25,0.2,0.5868878
0.25,0.325,0.5800252
0.375,0.325,0.56997234
0.375,0.35,0.56794685
0.4,0.35,0.5565989
0.4,0.4,0.54778624
0.45,0.4,0.53567564
0.45,0.55,0.53388476
0.475,0.55,0.5336974
0.475,0.575,0.53238255
0.5,0.575,0.52980244
0.5,0.8,0.51712835
0.525,0.8,0.48741668
0.525,0.9,0.4714075
0.675,0.9,0.46569863
0.675,0.925,0.4639547
0.7,0.925,0.46374366
0.7,0.95,0.4636397
0.725,0.95,0.46341488
0.725,0.975,0.4626835
0.775,0.975,0.43027946
0.775,1.0,0.08832367
1.0,1.0,0.016899189
