fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.5815038
0.025,0.05,0.5801585
0.075,0.05,0.5745298
0.075,0.1,0.57170653
0.1,0.1,0.5698437
0.1,0.15,0.5657818
0.125,0.15,0.5656746
0.125,0.175,0.55858904
0.15,0.175,0.5583586
0.15,0.25,0.5541774
0.175,0.25,0.54825634
0.175,0.275,0.5478441
0.25,0.275,0.5377875
0.25,0.3,0.53728455
0.325,0.3,0.5248627
0.325,0.35,0.52168804
0.375,0.35,0.5210185
0.375,0.375,0.51818365
0.425,0.375,0.5135422
0.425,0.4,0.51221555
0.45,0.4,0.51084137
0.45,0.425,0.51067513
0.5,0.425,0.508712
0.5,0.475,0.5079002
0.525,0.475,0.50594264
0.525,0.525,0.5029643
0.575,0.525,0.5007175
0.575,0.575,0.498581
0.6,0.575,0.49821883
0.6,0.675,0.4954263
0.625,0.675,0.4940415
0.625,0.7,0.49283445
0.675,0.7,0.49078023
0.675,0.75,0.48855734
0.7,0.75,0.4881177
0.7,0.775,0.48723683
0.775,0.775,0.48462108
0.775,0.825,0.48202217
0.825,0.825,0.4815993
0.825,0.875,0.47896343
0.85,0.875,0.47815213
0.85,0.925,0.4763909
0.875,0.925,0.47525865
0.875,1.0,0.46821964
1.0,1.0,0.4510518
