fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.76917374
0.025,0.05,0.73884124
0.075,0.05,0.7185986
0.075,0.075,0.7059591
0.1,0.075,0.7047932
0.1,0.125,0.68533176
0.15,0.125,0.66917884
0.15,0.2,0.65955734
0.175,0.2,0.6586694
0.175,0.325,0.61421514
0.225,0.325,0.60159636
0.225,0.35,0.6006367
0.275,0.35,0.586074
0.275,0.45,0.57065195
0.35,0.45,0.5653491
0.35,0.5,0.56286
0.375,0.5,0.5574445
0.375,0.6,0.5557355
0.4,0.6,0.55511343
0.4,0.65,0.5508268
0.45,0.65,0.5463757
0.45,0.675,0.5255474
0.575,0.675,0.49574846
0.575,0.775,0.48440295
0.6,0.775,0.4839742
0.6,0.8,0.47990212
0.625,0.8,0.47786233
0.625,0.85,0.47285166
0.7,0.85,0.47000685
0.7,0.875,0.46969613
0.725,0.875,0.46893054
0.725,0.95,0.4074915
0.775,0.95,0.31476748
0.775,0.975,0.29381308
0.925,0.975,0.18077843
0.925,1.0,0.18067804
1.0,1.0,0.07076075
