fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.6249675
0.0,0.05,0.6248965
0.025,0.05,0.6245936
0.025,0.1,0.6244716
0.05,0.1,0.62355405
0.05,0.15,0.62320906
0.075,0.15,0.6231694
0.075,0.225,0.6221696
0.1,0.225,0.62019217
0.1,0.275,0.6185074
0.2,0.275,0.61220485
0.2,0.3,0.61206394
0.225,0.3,0.6116899
0.225,0.325,0.6108778
0.3,0.325,0.60824966
0.3,0.425,0.597273
0.325,0.425,0.59395206
0.325,0.45,0.5916811
0.35,0.45,0.5911803
0.35,0.6,0.5834685
0.375,0.6,0.58288866
0.375,0.625,0.58258784
0.425,0.625,0.5809765
0.425,0.675,0.57752275
0.5,0.675,0.52808887
0.5,0.75,0.48216617
0.525,0.75,0.48174402
0.525,0.825,0.48051202
0.575,0.825,0.47983685
0.575,0.875,0.47969761
0.6,0.875,0.47967088
0.6,0.9,0.47950146
0.65,0.9,0.47934705
0.65,0.925,0.4792916
0.725,0.925,0.47913483
0.725,1.0,0.31900662
1.0,1.0,0.00574633
