fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.6710632
0.1,0.0,0.5847156
0.1,0.025,0.57848454
0.175,0.025,0.55757993
0.175,0.125,0.524937
0.275,0.125,0.49268746
0.275,0.15,0.49189863
0.3,0.15,0.49086654
0.3,0.175,0.4884127
0.35,0.175,0.48806408
0.35,0.225,0.48746654
0.4,0.225,0.48561794
0.4,0.35,0.46888307
0.425,0.35,0.46019328
0.425,0.375,0.45209318
0.45,0.375,0.4486714
0.45,0.4,0.44648117
0.55,0.4,0.42014676
0.55,0.45,0.41576752
0.575,0.45,0.40930092
0.575,0.475,0.40687037
0.6,0.475,0.40310687
0.6,0.525,0.38410035
0.625,0.525,0.38276982
0.625,0.575,0.37684944
0.65,0.575,0.3754285
0.65,0.675,0.35879624
0.675,0.675,0.35152835
0.675,0.725,0.34270254
0.75,0.725,0.33143228
0.75,0.775,0.32299188
0.775,0.775,0.3114153
0.775,0.8,0.2977178
0.85,0.8,0.25403675
0.85,0.85,0.19420728
0.925,0.85,0.18534483
0.925,0.9,0.17468753
0.975,0.9,0.13334475
0.975,0.95,0.095663615
1.0,0.95,0.08470038
1.0,1.0,0.079183534
