fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.92788565
0.025,0.025,0.87090605
0.025,0.05,0.8175867
0.075,0.05,0.77862275
0.075,0.075,0.7466481
0.1,0.075,0.7307002
0.1,0.15,0.71465737
0.125,0.15,0.70427865
0.125,0.225,0.68059456
0.175,0.225,0.67165005
0.175,0.275,0.66096777
0.2,0.275,0.6604572
0.2,0.3,0.65981615
0.25,0.3,0.6463931
0.25,0.35,0.6227946
0.325,0.35,0.5929063
0.325,0.4,0.59059167
0.35,0.4,0.5842503
0.35,0.45,0.5632346
0.375,0.45,0.5619564
0.375,0.5,0.55572426
0.4,0.5,0.5557055
0.4,0.525,0.5517159
0.425,0.525,0.54746366
0.425,0.55,0.5377422
0.475,0.55,0.5236067
0.475,0.6,0.50913715
0.525,0.6,0.5058025
0.525,0.625,0.5050846
0.575,0.625,0.48555526
0.575,0.725,0.4552712
0.625,0.725,0.4464936
0.625,0.8,0.43325242
0.675,0.8,0.40620154
0.675,0.85,0.37045115
0.7,0.85,0.36726445
0.7,0.875,0.3528248
0.725,0.875,0.3522576
0.725,0.9,0.3415748
0.9,0.9,0.25036862
0.9,0.925,0.25006288
1.0,0.925,0.158802
1.0,1.0,0.065510765
