fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.70985264
0.05,0.0,0.7028245
0.05,0.05,0.6813326
0.075,0.05,0.6792511
0.075,0.175,0.63755226
0.1,0.175,0.6258145
0.1,0.375,0.53638047
0.125,0.375,0.5356405
0.125,0.4,0.528699
0.15,0.4,0.5264201
0.15,0.45,0.52467805
0.175,0.45,0.5174631
0.175,0.475,0.5134231
0.2,0.475,0.5023418
0.2,0.5,0.49818617
0.225,0.5,0.48967472
0.225,0.525,0.48894623
0.25,0.525,0.47782832
0.25,0.55,0.46713796
0.275,0.55,0.46449912
0.275,0.6,0.46220338
0.3,0.6,0.4621869
0.3,0.625,0.4604019
0.35,0.625,0.45919245
0.35,0.65,0.45860803
0.425,0.65,0.45758647
0.425,0.8,0.41740856
0.45,0.8,0.41060132
0.45,0.875,0.37885365
0.5,0.875,0.36896354
0.5,0.9,0.35981748
0.55,0.9,0.3518925
0.55,0.925,0.3478617
0.575,0.925,0.34386554
0.575,0.95,0.34270513
0.75,0.95,0.30246383
0.75,0.975,0.300466
0.8,0.975,0.2857436
0.8,1.0,0.28509384
1.0,1.0,0.23161933
