fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.71393263
0.05,0.025,0.7112686
0.05,0.05,0.70981926
0.1,0.05,0.6845514
0.1,0.15,0.5843785
0.15,0.15,0.5617389
0.15,0.275,0.55512404
0.175,0.275,0.5544297
0.175,0.375,0.5393148
0.2,0.375,0.5375417
0.2,0.4,0.5202647
0.225,0.4,0.516671
0.225,0.425,0.5147103
0.25,0.425,0.5095696
0.25,0.5,0.50881004
0.325,0.5,0.5085324
0.325,0.525,0.5084088
0.35,0.525,0.5082142
0.35,0.575,0.4586507
0.4,0.575,0.4362125
0.4,0.625,0.41052172
0.5,0.625,0.3785133
0.5,0.65,0.36981335
0.525,0.65,0.36883968
0.525,0.675,0.36853212
0.6,0.675,0.36186785
0.6,0.7,0.36165327
0.65,0.7,0.36065558
0.65,0.725,0.36056066
0.7,0.725,0.3600031
0.7,0.85,0.35008702
0.725,0.85,0.34981272
0.725,0.875,0.34831616
0.775,0.875,0.34764406
0.775,0.95,0.3467115
0.8,0.95,0.33675617
0.8,0.975,0.3366871
0.825,0.975,0.3251744
0.825,1.0,0.31596538
1.0,1.0,0.018654414
