fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.5816507
0.0,0.05,0.5784213
0.025,0.05,0.57839555
0.025,0.15,0.57698286
0.05,0.15,0.5766386
0.05,0.275,0.5722842
0.075,0.275,0.57226616
0.075,0.3,0.5718694
0.1,0.3,0.57149255
0.1,0.325,0.5713254
0.15,0.325,0.5644097
0.15,0.35,0.5633818
0.325,0.35,0.55455047
0.325,0.425,0.54591125
0.35,0.425,0.54467404
0.35,0.45,0.5435688
0.375,0.45,0.53998363
0.375,0.525,0.5275359
0.475,0.525,0.5269755
0.475,0.55,0.5268353
0.6,0.55,0.5257341
0.6,0.575,0.5251964
0.7,0.575,0.5117064
0.7,0.65,0.5056084
0.725,0.65,0.5043231
0.725,0.725,0.50067616
0.8,0.725,0.4995564
0.8,0.8,0.49898148
0.85,0.8,0.49843973
0.85,0.825,0.4973072
0.925,0.825,0.48996246
0.925,0.925,0.4646335
0.975,0.925,0.24857321
0.975,0.975,0.20831983
1.0,0.975,0.14928167
1.0,1.0,0.14869487
