fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.75915563
0.05,0.025,0.7507645
0.05,0.05,0.75073916
0.1,0.05,0.7284671
0.1,0.1,0.70749456
0.175,0.1,0.6918015
0.175,0.175,0.68404716
0.225,0.175,0.6796151
0.225,0.225,0.6756392
0.25,0.225,0.66550624
0.25,0.25,0.6652166
0.275,0.25,0.65446866
0.275,0.425,0.58247614
0.4,0.425,0.5680037
0.4,0.45,0.5673147
0.5,0.45,0.5591301
0.5,0.475,0.55556446
0.525,0.475,0.55540186
0.525,0.575,0.5489026
0.65,0.575,0.53242135
0.65,0.6,0.53102076
0.675,0.6,0.53011125
0.675,0.625,0.5293494
0.7,0.625,0.5270961
0.7,0.75,0.5177779
0.725,0.75,0.50901335
0.725,0.825,0.5025977
0.85,0.825,0.47395942
0.85,0.85,0.47079653
0.875,0.85,0.46762547
0.875,1.0,0.33611473
1.0,1.0,0.014116487
