target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
ARCH_eff_control_HQNN_s43,architecture_control,mnist,HQNN,1622,43,43,43,"1=member,0=nonmember",6,2,1.0,0.96,0.040000000000000036,0.575,0.630625,0.6964285714285714,0.5416666666666666,0.975,0.025,0.025,0.075,0.1,optuna,0.616015625,23,reviewer_results/learned_mia_seed43/ARCH_eff_control_HQNN_s43/attack_results.json
ARCH_eff_control_HQNN_s44,architecture_control,mnist,HQNN,1622,44,43,43,"1=member,0=nonmember",6,2,1.0,0.97,0.030000000000000027,0.5125,0.5287499999999999,0.5979381443298969,0.5087719298245614,0.725,0.025,0.025,0.075,0.125,optuna,0.6349609375,29,reviewer_results/learned_mia_seed43/ARCH_eff_control_HQNN_s44/attack_results.json
ARCH_eff_control_HQNN_s45,architecture_control,mnist,HQNN,1622,45,43,43,"1=member,0=nonmember",6,2,1.0,0.975,0.025000000000000022,0.525,0.5349999999999999,0.6724137931034483,0.5131578947368421,0.975,0.025,0.025,0.025,0.125,optuna,0.582421875,15,reviewer_results/learned_mia_seed43/ARCH_eff_control_HQNN_s45/attack_results.json
ARCH_eff_control_QCNN_s43,architecture_control,mnist,QCNN,1622,43,43,43,"1=member,0=nonmember",6,2,0.845,0.87,-0.025000000000000022,0.4,0.41000000000000003,0.4418604651162791,0.41304347826086957,0.475,0.05,0.05,0.1,0.125,optuna,0.6115234375,25,reviewer_results/learned_mia_seed43/ARCH_eff_control_QCNN_s43/attack_results.json
ARCH_eff_control_QCNN_s44,architecture_control,mnist,QCNN,1622,44,43,43,"1=member,0=nonmember",6,2,0.845,0.815,0.030000000000000027,0.4625,0.42625,0.4819277108433735,0.46511627906976744,0.5,0.05,0.05,0.05,0.075,optuna,0.63125,22,reviewer_results/learned_mia_seed43/ARCH_eff_control_QCNN_s44/attack_results.json
ARCH_eff_control_QCNN_s45,architecture_control,mnist,QCNN,1622,45,43,43,"1=member,0=nonmember",6,2,0.81,0.81,0.0,0.5375,0.519375,0.5747126436781609,0.5319148936170213,0.625,0.0,0.0,0.025,0.025,optuna,0.6361328125,7,reviewer_results/learned_mia_seed43/ARCH_eff_control_QCNN_s45/attack_results.json
ARCH_eff_control_QNN_s43,architecture_control,mnist,QNN,1622,43,43,43,"1=member,0=nonmember",6,2,0.685,0.68,0.0050000000000000044,0.55,0.5437500000000001,0.47058823529411764,0.5714285714285714,0.4,0.0,0.0,0.125,0.15,optuna,0.6146484375,8,reviewer_results/learned_mia_seed43/ARCH_eff_control_QNN_s43/attack_results.json
ARCH_eff_control_QNN_s44,architecture_control,mnist,QNN,1622,44,43,43,"1=member,0=nonmember",6,2,0.68,0.655,0.025000000000000022,0.5375,0.4975,0.5066666666666667,0.5428571428571428,0.475,0.0,0.0,0.0,0.05,optuna,0.6548828125,17,reviewer_results/learned_mia_seed43/ARCH_eff_control_QNN_s44/attack_results.json
ARCH_eff_control_QNN_s45,architecture_control,mnist,QNN,1622,45,43,43,"1=member,0=nonmember",6,2,0.705,0.665,0.039999999999999925,0.575,0.54125,0.6136363636363636,0.5625,0.675,0.0,0.0,0.0,0.05,optuna,0.64765625,6,reviewer_results/learned_mia_seed43/ARCH_eff_control_QNN_s45/attack_results.json
ARCH_eff_control_mlp_qnn_s43,architecture_control,mnist,MLP_QNN,1622,43,43,43,"1=member,0=nonmember",6,2,0.905,0.775,0.13,0.5375,0.551875,0.6105263157894737,0.5272727272727272,0.725,0.0,0.0,0.05,0.1,optuna,0.62734375,127,reviewer_results/learned_mia_seed43/ARCH_eff_control_mlp_qnn_s43/attack_results.json
ARCH_eff_control_mlp_qnn_s44,architecture_control,mnist,MLP_QNN,1622,44,43,43,"1=member,0=nonmember",6,2,0.9,0.79,0.10999999999999999,0.5,0.48750000000000004,0.5348837209302325,0.5,0.575,0.0,0.0,0.05,0.05,optuna,0.623828125,2,reviewer_results/learned_mia_seed43/ARCH_eff_control_mlp_qnn_s44/attack_results.json
ARCH_eff_control_mlp_qnn_s45,architecture_control,mnist,MLP_QNN,1622,45,43,43,"1=member,0=nonmember",6,2,0.905,0.785,0.12,0.525,0.5418750000000001,0.6041666666666666,0.5178571428571429,0.725,0.0,0.0,0.1,0.125,optuna,0.6384765625,24,reviewer_results/learned_mia_seed43/ARCH_eff_control_mlp_qnn_s45/attack_results.json
ARCH_high_reupload_HQNN_s43,architecture_control,mnist,HQNN,1070,43,43,43,"1=member,0=nonmember",6,6,1.0,0.92,0.07999999999999996,0.4625,0.505,0.5057471264367817,0.46808510638297873,0.55,0.0,0.0,0.1,0.125,optuna,0.616015625,2,reviewer_results/learned_mia_seed43/ARCH_high_reupload_HQNN_s43/attack_results.json
ARCH_high_reupload_HQNN_s44,architecture_control,mnist,HQNN,1070,44,43,43,"1=member,0=nonmember",6,6,0.71,0.605,0.10499999999999998,0.4625,0.45437500000000003,0.39436619718309857,0.45161290322580644,0.35,0.0,0.0,0.05,0.1,optuna,0.6197265625,50,reviewer_results/learned_mia_seed43/ARCH_high_reupload_HQNN_s44/attack_results.json
ARCH_high_reupload_HQNN_s45,architecture_control,mnist,HQNN,1070,45,43,43,"1=member,0=nonmember",6,6,1.0,0.94,0.06000000000000005,0.5875,0.5687500000000001,0.6292134831460674,0.5714285714285714,0.7,0.0,0.0,0.05,0.075,optuna,0.6828125,21,reviewer_results/learned_mia_seed43/ARCH_high_reupload_HQNN_s45/attack_results.json
ARCH_high_reupload_QCNN_s43,architecture_control,mnist,QCNN,1070,43,43,43,"1=member,0=nonmember",6,6,0.965,0.785,0.17999999999999994,0.6125,0.6453125,0.4918032786885246,0.7142857142857143,0.375,0.2,0.2,0.275,0.35,optuna,0.6751953125,21,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QCNN_s43/attack_results.json
ARCH_high_reupload_QCNN_s44,architecture_control,mnist,QCNN,1070,44,43,43,"1=member,0=nonmember",6,6,0.96,0.8,0.15999999999999992,0.625,0.67625,0.6052631578947368,0.6388888888888888,0.575,0.025,0.025,0.025,0.1,optuna,0.6830078125,68,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QCNN_s44/attack_results.json
ARCH_high_reupload_QCNN_s45,architecture_control,mnist,QCNN,1070,45,43,43,"1=member,0=nonmember",6,6,0.955,0.79,0.16499999999999992,0.5375,0.5724999999999999,0.5842696629213483,0.5306122448979592,0.65,0.05,0.05,0.1,0.1,optuna,0.65078125,32,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QCNN_s45/attack_results.json
ARCH_high_reupload_QNN_s43,architecture_control,mnist,QNN,1070,43,43,43,"1=member,0=nonmember",6,6,0.8,0.555,0.245,0.5125,0.61625,0.5894736842105263,0.509090909090909,0.7,0.025,0.025,0.15,0.2,optuna,0.6880859375,86,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QNN_s43/attack_results.json
ARCH_high_reupload_QNN_s44,architecture_control,mnist,QNN,1070,44,43,43,"1=member,0=nonmember",6,6,0.765,0.535,0.22999999999999998,0.6375,0.729375,0.5671641791044776,0.7037037037037037,0.475,0.0,0.0,0.05,0.375,optuna,0.61015625,9,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QNN_s44/attack_results.json
ARCH_high_reupload_QNN_s45,architecture_control,mnist,QNN,1070,45,43,43,"1=member,0=nonmember",6,6,0.81,0.525,0.28500000000000003,0.6,0.6493749999999999,0.673469387755102,0.5689655172413793,0.825,0.025,0.025,0.05,0.1,optuna,0.7078125,20,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QNN_s45/attack_results.json
ARCH_high_reupload_mlp_qnn_s43,architecture_control,mnist,MLP_QNN,1070,43,43,43,"1=member,0=nonmember",6,6,0.94,0.795,0.1449999999999999,0.5375,0.455625,0.6542056074766355,0.5223880597014925,0.875,0.0,0.0,0.1,0.175,optuna,0.6513671875,17,reviewer_results/learned_mia_seed43/ARCH_high_reupload_mlp_qnn_s43/attack_results.json
