name,kind,target_id,structural_cell_id,reference_id,gpu,status,returncode,seconds,log
train_z_r1_d2_ref000,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,0,0,ok,0,199.5235459804535,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref000.log
train_z_r1_d2_ref002,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,2,2,ok,0,204.47900104522705,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref002.log
train_z_r1_d2_ref004,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,4,4,ok,0,224.07313299179077,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref004.log
train_z_r1_d2_ref007,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,7,7,ok,0,230.4681932926178,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref007.log
train_z_r1_d2_ref001,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,1,1,ok,0,234.33518314361572,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref001.log
train_z_r1_d2_ref006,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,6,6,ok,0,234.69213962554932,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref006.log
train_z_r1_d2_ref003,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,3,3,ok,0,312.88503074645996,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref003.log
train_z_r1_d2_ref005,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,5,5,ok,0,314.1267020702362,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref005.log
train_z_r1_d2_ref008,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,8,0,ok,0,198.2199764251709,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref008.log
train_z_r1_d2_ref009,train_reference,MNIST_QNN_z_r1_d2_s43,z_r1_d2,9,2,ok,0,231.03101015090942,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/logs/train_z_r1_d2_ref009.log
