experiment,dataset,architecture,fm_kind,reps,depth,n_wires,model_seed,data_seed,structural_cell_id,risk_role,comparison_group,selection_order,original_acc_train,original_acc_test,original_gap,selection_basis,target_id,status,n_prediction_rows,n_conditions,n_status_rows,has_backend_metadata,has_failures_file
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,44,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s44,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,45,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s45,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,eff_su2,5,2,6,43,43,eff_su2_r5_d2,corrected_eff_su2_repetition_control,eff_su2_repetition_d2,2,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r5_d2_s43,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,eff_su2,5,2,6,44,43,eff_su2_r5_d2,corrected_eff_su2_repetition_control,eff_su2_repetition_d2,2,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r5_d2_s44,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,eff_su2,5,2,6,45,43,eff_su2_r5_d2,corrected_eff_su2_repetition_control,eff_su2_repetition_d2,2,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r5_d2_s45,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,z,1,6,6,43,43,z_r1_d6,medium_risk_z_anchor,encoder_family_r1_d6,3,0.83,0.56,0.2699999999999999,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_z_r1_d6_s43,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,z,1,6,6,44,43,z_r1_d6,medium_risk_z_anchor,encoder_family_r1_d6,3,0.83,0.56,0.2699999999999999,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_z_r1_d6_s44,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,z,1,6,6,45,43,z_r1_d6,medium_risk_z_anchor,encoder_family_r1_d6,3,0.83,0.56,0.2699999999999999,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_z_r1_d6_s45,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,zz,1,6,6,43,43,zz_r1_d6,medium_risk_zz_repetition_baseline,zz_repetition_d6,4,0.83,0.555,0.2749999999999999,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_zz_r1_d6_s43,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,zz,1,6,6,44,43,zz_r1_d6,medium_risk_zz_repetition_baseline,zz_repetition_d6,4,0.83,0.555,0.2749999999999999,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_zz_r1_d6_s44,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,zz,1,6,6,45,43,zz_r1_d6,medium_risk_zz_repetition_baseline,zz_repetition_d6,4,0.83,0.555,0.2749999999999999,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_zz_r1_d6_s45,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,zz,5,6,6,43,43,zz_r5_d6,high_risk_anchor,zz_repetition_d6,5,0.765,0.34,0.425,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_zz_r5_d6_s43,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,zz,5,6,6,44,43,zz_r5_d6,high_risk_anchor,zz_repetition_d6,5,0.765,0.34,0.425,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_zz_r5_d6_s44,ok,12200,61,61,True,True
multiseed_factorial,MNIST,QNN,zz,5,6,6,45,43,zz_r5_d6,high_risk_anchor,zz_repetition_d6,5,0.765,0.34,0.425,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_zz_r5_d6_s45,ok,12200,61,61,True,True
