target_id,mode,shots,metric_scope,metric_name,backend_name,noise_model_loaded,quantum_execution_scope,n_replicates,mean,sd,ci95_low,ci95_high,valid_bootstrap_replicates,ci_method,bootstrap_unit,bootstrap_replicates
MNIST_QNN_zz_r5_d6_s44,exact,0,membership,confidence_auc,none,False,exact_full_model,1,0.5546,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,membership,correctness_auc,none,False,exact_full_model,1,0.6699999999999999,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,membership,entropy_auc,none,False,exact_full_model,1,0.5476000000000001,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,membership,loss_auc,none,False,exact_full_model,1,0.7289000000000001,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,membership,margin_auc,none,False,exact_full_model,1,0.5562,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,membership,max_probability_auc,none,False,exact_full_model,1,0.5546,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,target,generalization_gap_accuracy,none,False,exact_full_model,1,0.3399999737739563,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,test,n_records,none,False,exact_full_model,1,100.0,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,test,target_accuracy,none,False,exact_full_model,1,0.550000011920929,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,test,target_loss,none,False,exact_full_model,1,1.4118417501449585,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,train,n_records,none,False,exact_full_model,1,100.0,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,train,target_accuracy,none,False,exact_full_model,1,0.8899999856948853,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,exact,0,train,target_loss,none,False,exact_full_model,1,0.37541139125823975,,,,0,not applicable: deterministic exact evaluation or one simulator seed,none,0
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,membership,confidence_auc,ibm_kingston,False,full_main_quantum_stack,10,0.51693,0.03094852536425961,0.49794,0.53517125,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,membership,correctness_auc,ibm_kingston,False,full_main_quantum_stack,10,0.6505000000000001,0.012572014777097414,0.643,0.6575,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,membership,entropy_auc,ibm_kingston,False,full_main_quantum_stack,10,0.51904,0.029631259769971927,0.5015479999999999,0.5368602500000001,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,membership,loss_auc,ibm_kingston,False,full_main_quantum_stack,10,0.69511,0.015170472050078793,0.6857395,0.7038004999999999,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,membership,margin_auc,ibm_kingston,False,full_main_quantum_stack,10,0.5153800000000002,0.030839217456565503,0.49631925000000005,0.532373,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,membership,max_probability_auc,ibm_kingston,False,full_main_quantum_stack,10,0.51693,0.03094852536425961,0.4980300000000001,0.5345705,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,target,generalization_gap_accuracy,ibm_kingston,False,full_main_quantum_stack,10,0.3009999990463257,0.02514403112401513,0.28500000238418577,0.31500000059604644,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,test,n_records,ibm_kingston,False,full_main_quantum_stack,10,100.0,0.0,100.0,100.0,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,test,target_accuracy,ibm_kingston,False,full_main_quantum_stack,10,0.510999995470047,0.026012819023651445,0.4949999988079071,0.5259999990463257,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,test,target_loss,ibm_kingston,False,full_main_quantum_stack,10,1.51707603931427,0.08398490571054078,1.469940332174301,1.5680137947201729,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,train,n_records,ibm_kingston,False,full_main_quantum_stack,10,100.0,0.0,100.0,100.0,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,train,target_accuracy,ibm_kingston,False,full_main_quantum_stack,10,0.8119999945163727,0.017511899898541586,0.8009999930858612,0.8209999918937683,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,128,train,target_loss,ibm_kingston,False,full_main_quantum_stack,10,0.4937755912542343,0.031090586694395232,0.47361944817006585,0.5115595161169768,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,membership,confidence_auc,ibm_kingston,False,full_main_quantum_stack,10,0.53069,0.012092463217503123,0.5238992499999999,0.5378102500000002,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,membership,correctness_auc,ibm_kingston,False,full_main_quantum_stack,10,0.6605,0.013006408676751104,0.6535,0.6685,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,membership,entropy_auc,ibm_kingston,False,full_main_quantum_stack,10,0.5302100000000001,0.012147468872156049,0.5233297499999999,0.5375905,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,membership,loss_auc,ibm_kingston,False,full_main_quantum_stack,10,0.7137,0.011826242006656227,0.7064695000000001,0.7205605,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,membership,margin_auc,ibm_kingston,False,full_main_quantum_stack,10,0.53032,0.013640690761264434,0.52231975,0.5383402500000001,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,membership,max_probability_auc,ibm_kingston,False,full_main_quantum_stack,10,0.53069,0.012092463217503123,0.5239100000000001,0.53779,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,target,generalization_gap_accuracy,ibm_kingston,False,full_main_quantum_stack,10,0.3209999978542328,0.02601282284259417,0.3069999933242798,0.33700000047683715,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,test,n_records,ibm_kingston,False,full_main_quantum_stack,10,100.0,0.0,100.0,100.0,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,test,target_accuracy,ibm_kingston,False,full_main_quantum_stack,10,0.539000004529953,0.012866851297857602,0.5319999873638153,0.5470000028610229,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,test,target_loss,ibm_kingston,False,full_main_quantum_stack,10,1.4269660115242004,0.037225527796361235,1.4062995260953903,1.4492746302485466,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,train,n_records,ibm_kingston,False,full_main_quantum_stack,10,100.0,0.0,100.0,100.0,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,train,target_accuracy,ibm_kingston,False,full_main_quantum_stack,10,0.8600000023841858,0.02054804319567824,0.848000013679266,0.872000002861023,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,512,train,target_loss,ibm_kingston,False,full_main_quantum_stack,10,0.4107048511505127,0.014776142282921085,0.40302788868546485,0.42018482342362407,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,1024,membership,confidence_auc,ibm_kingston,False,full_main_quantum_stack,10,0.54765,0.00799002850780623,0.5428787500000001,0.5523205000000001,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,1024,membership,correctness_auc,ibm_kingston,False,full_main_quantum_stack,10,0.6715,0.011316163464511976,0.6649999999999998,0.6779999999999999,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
MNIST_QNN_zz_r5_d6_s44,ideal_shot,1024,membership,entropy_auc,ibm_kingston,False,full_main_quantum_stack,10,0.5421400000000001,0.006992885273221942,0.53788,0.5460299999999999,5000,95% paired/percentile bootstrap over finite-shot simulator seeds,simulator_seeds,5000
