target_id,structural_cell_id,model_seed,status,gpu,return_code,seconds,log_path,target_out,error
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,ok,2,0,652.324,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_eff_su2_r1_d2_s45.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_eff_su2_r1_d2_s45,
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,ok,1,0,652.531,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_eff_su2_r1_d2_s44.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_eff_su2_r1_d2_s44,
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,ok,0,0,660.941,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_eff_su2_r1_d2_s43.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_eff_su2_r1_d2_s43,
MNIST_QNN_eff_su2_r5_d2_s43,eff_su2_r5_d2,43,ok,3,0,780.053,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_eff_su2_r5_d2_s43.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_eff_su2_r5_d2_s43,
MNIST_QNN_eff_su2_r5_d2_s44,eff_su2_r5_d2,44,ok,4,0,784.433,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_eff_su2_r5_d2_s44.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_eff_su2_r5_d2_s44,
MNIST_QNN_eff_su2_r5_d2_s45,eff_su2_r5_d2,45,ok,5,0,785.73,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_eff_su2_r5_d2_s45.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_eff_su2_r5_d2_s45,
MNIST_QNN_z_r1_d6_s43,z_r1_d6,43,ok,6,0,853.16,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_z_r1_d6_s43.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_z_r1_d6_s43,
MNIST_QNN_z_r1_d6_s44,z_r1_d6,44,ok,7,0,853.299,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_z_r1_d6_s44.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_z_r1_d6_s44,
MNIST_QNN_z_r1_d6_s45,z_r1_d6,45,ok,2,0,801.35,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_z_r1_d6_s45.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_z_r1_d6_s45,
MNIST_QNN_zz_r1_d6_s43,zz_r1_d6,43,ok,1,0,919.97,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/launcher_logs/MNIST_QNN_zz_r1_d6_s43.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s43,
