Risk configuration,Structural cell,Mode,Shots,Target seeds,Test accuracy,Accuracy gap,Loss AUC,TPR@5% FPR,TPR@10% FPR
low_risk_anchor,eff_su2_r1_d2,exact,exact,3,0.750 ± 0.040,0.033 ± 0.060,0.521 ± 0.018,0.043 ± 0.012,0.093 ± 0.006
low_risk_anchor,eff_su2_r1_d2,ideal_shot,128,3,0.622 ± 0.016,0.041 ± 0.041,0.518 ± 0.015,0.055 ± 0.007,0.108 ± 0.008
low_risk_anchor,eff_su2_r1_d2,ideal_shot,512,3,0.699 ± 0.032,0.056 ± 0.039,0.520 ± 0.012,0.050 ± 0.011,0.094 ± 0.011
low_risk_anchor,eff_su2_r1_d2,ideal_shot,1024,3,0.724 ± 0.040,0.050 ± 0.055,0.521 ± 0.015,0.050 ± 0.006,0.091 ± 0.006
low_risk_anchor,eff_su2_r1_d2,noisy_shot,128,3,0.611 ± 0.022,0.043 ± 0.044,0.526 ± 0.020,0.063 ± 0.005,0.113 ± 0.011
low_risk_anchor,eff_su2_r1_d2,noisy_shot,512,3,0.686 ± 0.030,0.055 ± 0.037,0.527 ± 0.013,0.063 ± 0.010,0.119 ± 0.007
low_risk_anchor,eff_su2_r1_d2,noisy_shot,1024,3,0.710 ± 0.029,0.039 ± 0.036,0.525 ± 0.019,0.062 ± 0.013,0.107 ± 0.022
corrected_eff_su2_repetition_control,eff_su2_r5_d2,exact,exact,3,0.780 ± 0.026,0.107 ± 0.055,0.559 ± 0.014,0.050 ± 0.026,0.120 ± 0.030
corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,128,3,0.696 ± 0.008,0.064 ± 0.014,0.548 ± 0.005,0.065 ± 0.005,0.120 ± 0.001
corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,512,3,0.756 ± 0.021,0.086 ± 0.033,0.557 ± 0.011,0.062 ± 0.008,0.122 ± 0.007
corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,1024,3,0.770 ± 0.017,0.097 ± 0.035,0.559 ± 0.014,0.062 ± 0.013,0.109 ± 0.015
corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,128,3,0.662 ± 0.010,0.057 ± 0.013,0.544 ± 0.016,0.064 ± 0.009,0.115 ± 0.003
corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,512,3,0.741 ± 0.022,0.083 ± 0.031,0.552 ± 0.024,0.056 ± 0.006,0.120 ± 0.006
corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,1024,3,0.757 ± 0.022,0.087 ± 0.025,0.554 ± 0.022,0.054 ± 0.009,0.103 ± 0.013
medium_risk_z_anchor,z_r1_d6,exact,exact,3,0.760 ± 0.020,0.183 ± 0.021,0.568 ± 0.010,0.070 ± 0.040,0.097 ± 0.038
medium_risk_z_anchor,z_r1_d6,ideal_shot,128,3,0.731 ± 0.013,0.151 ± 0.010,0.561 ± 0.006,0.064 ± 0.020,0.107 ± 0.014
medium_risk_z_anchor,z_r1_d6,ideal_shot,512,3,0.748 ± 0.021,0.172 ± 0.021,0.565 ± 0.007,0.058 ± 0.013,0.099 ± 0.025
medium_risk_z_anchor,z_r1_d6,ideal_shot,1024,3,0.756 ± 0.024,0.173 ± 0.027,0.566 ± 0.009,0.056 ± 0.019,0.097 ± 0.027
medium_risk_z_anchor,z_r1_d6,noisy_shot,128,3,0.726 ± 0.011,0.131 ± 0.021,0.550 ± 0.017,0.054 ± 0.016,0.095 ± 0.018
medium_risk_z_anchor,z_r1_d6,noisy_shot,512,3,0.728 ± 0.018,0.171 ± 0.023,0.554 ± 0.011,0.045 ± 0.027,0.081 ± 0.025
medium_risk_z_anchor,z_r1_d6,noisy_shot,1024,3,0.733 ± 0.019,0.178 ± 0.017,0.557 ± 0.014,0.039 ± 0.027,0.077 ± 0.031
medium_risk_zz_repetition_baseline,zz_r1_d6,exact,exact,3,0.727 ± 0.015,0.223 ± 0.006,0.585 ± 0.013,0.020 ± 0.010,0.073 ± 0.021
medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,128,3,0.713 ± 0.006,0.186 ± 0.008,0.579 ± 0.011,0.037 ± 0.014,0.084 ± 0.013
medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,512,3,0.726 ± 0.020,0.210 ± 0.020,0.581 ± 0.013,0.033 ± 0.015,0.085 ± 0.024
medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,1024,3,0.729 ± 0.017,0.215 ± 0.020,0.584 ± 0.013,0.024 ± 0.011,0.080 ± 0.024
medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,128,3,0.695 ± 0.007,0.156 ± 0.006,0.572 ± 0.015,0.048 ± 0.011,0.097 ± 0.024
medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,512,3,0.734 ± 0.002,0.186 ± 0.003,0.582 ± 0.022,0.038 ± 0.016,0.083 ± 0.017
medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,1024,3,0.737 ± 0.010,0.195 ± 0.015,0.587 ± 0.021,0.033 ± 0.013,0.084 ± 0.027
high_risk_anchor,zz_r5_d6,exact,exact,3,0.550 ± 0.010,0.323 ± 0.047,0.700 ± 0.037,0.107 ± 0.067,0.150 ± 0.080
high_risk_anchor,zz_r5_d6,ideal_shot,128,3,0.516 ± 0.007,0.288 ± 0.048,0.671 ± 0.033,0.082 ± 0.030,0.168 ± 0.036
high_risk_anchor,zz_r5_d6,ideal_shot,512,3,0.532 ± 0.009,0.324 ± 0.048,0.691 ± 0.031,0.090 ± 0.043,0.160 ± 0.061
high_risk_anchor,zz_r5_d6,ideal_shot,1024,3,0.539 ± 0.013,0.330 ± 0.065,0.696 ± 0.037,0.096 ± 0.057,0.167 ± 0.080
high_risk_anchor,zz_r5_d6,noisy_shot,128,3,0.495 ± 0.019,0.179 ± 0.034,0.622 ± 0.031,0.086 ± 0.024,0.165 ± 0.037
high_risk_anchor,zz_r5_d6,noisy_shot,512,3,0.525 ± 0.048,0.240 ± 0.044,0.651 ± 0.034,0.100 ± 0.026,0.180 ± 0.047
high_risk_anchor,zz_r5_d6,noisy_shot,1024,3,0.539 ± 0.044,0.237 ± 0.048,0.657 ± 0.034,0.107 ± 0.020,0.173 ± 0.027
