Target ID,Target seed,Risk configuration,Structural cell,Mode,Shots,Simulator seeds,Δ test accuracy vs exact,Δ test accuracy 95% CI,Δ loss AUC vs exact,Δ loss AUC 95% CI,Valid bootstrap
MNIST_QNN_eff_su2_r1_d2_s43,43,low_risk_anchor,eff_su2_r1_d2,ideal_shot,128,10,-0.1149999999999999,"[-0.144, -0.082]",-0.0110099999999999,"[-0.029, 0.010]",5000
MNIST_QNN_eff_su2_r1_d2_s43,43,low_risk_anchor,eff_su2_r1_d2,ideal_shot,512,10,-0.03,"[-0.051, -0.010]",-0.0039399999999998,"[-0.020, 0.013]",5000
MNIST_QNN_eff_su2_r1_d2_s43,43,low_risk_anchor,eff_su2_r1_d2,ideal_shot,1024,10,-0.002,"[-0.017, 0.012]",-0.0029199999999999,"[-0.015, 0.009]",5000
MNIST_QNN_eff_su2_r1_d2_s43,43,low_risk_anchor,eff_su2_r1_d2,noisy_shot,128,10,-0.121,"[-0.148, -0.091]",-0.0094299999999999,"[-0.026, 0.009]",5000
MNIST_QNN_eff_su2_r1_d2_s43,43,low_risk_anchor,eff_su2_r1_d2,noisy_shot,512,10,-0.045,"[-0.063, -0.026]",0.00325,"[-0.013, 0.020]",5000
MNIST_QNN_eff_su2_r1_d2_s43,43,low_risk_anchor,eff_su2_r1_d2,noisy_shot,1024,10,-0.035,"[-0.049, -0.022]",0.0075700000000001,"[-0.002, 0.017]",5000
MNIST_QNN_eff_su2_r1_d2_s44,44,low_risk_anchor,eff_su2_r1_d2,ideal_shot,128,10,-0.1059999999999999,"[-0.132, -0.083]",-0.01165,"[-0.024, 0.001]",5000
MNIST_QNN_eff_su2_r1_d2_s44,44,low_risk_anchor,eff_su2_r1_d2,ideal_shot,512,10,-0.0479999999999999,"[-0.067, -0.029]",-0.009,"[-0.019, 0.001]",5000
MNIST_QNN_eff_su2_r1_d2_s44,44,low_risk_anchor,eff_su2_r1_d2,ideal_shot,1024,10,-0.0319999999999999,"[-0.046, -0.017]",-0.00389,"[-0.011, 0.003]",5000
MNIST_QNN_eff_su2_r1_d2_s44,44,low_risk_anchor,eff_su2_r1_d2,noisy_shot,128,10,-0.1229999999999999,"[-0.145, -0.095]",0.0005199999999999,"[-0.014, 0.017]",5000
MNIST_QNN_eff_su2_r1_d2_s44,44,low_risk_anchor,eff_su2_r1_d2,noisy_shot,512,10,-0.0579999999999999,"[-0.070, -0.047]",-0.00073,"[-0.010, 0.010]",5000
MNIST_QNN_eff_su2_r1_d2_s44,44,low_risk_anchor,eff_su2_r1_d2,noisy_shot,1024,10,-0.0309999999999999,"[-0.047, -0.013]",0.0030099999999999,"[-0.004, 0.010]",5000
MNIST_QNN_eff_su2_r1_d2_s45,45,low_risk_anchor,eff_su2_r1_d2,ideal_shot,128,10,-0.162,"[-0.187, -0.135]",0.01436,"[-0.003, 0.029]",5000
MNIST_QNN_eff_su2_r1_d2_s45,45,low_risk_anchor,eff_su2_r1_d2,ideal_shot,512,10,-0.075,"[-0.087, -0.063]",0.00975,"[-0.003, 0.022]",5000
MNIST_QNN_eff_su2_r1_d2_s45,45,low_risk_anchor,eff_su2_r1_d2,ideal_shot,1024,10,-0.043,"[-0.058, -0.027]",0.00715,"[-0.001, 0.014]",5000
MNIST_QNN_eff_su2_r1_d2_s45,45,low_risk_anchor,eff_su2_r1_d2,noisy_shot,128,10,-0.173,"[-0.197, -0.149]",0.02374,"[0.007, 0.040]",5000
MNIST_QNN_eff_su2_r1_d2_s45,45,low_risk_anchor,eff_su2_r1_d2,noisy_shot,512,10,-0.088,"[-0.114, -0.064]",0.01475,"[0.001, 0.030]",5000
MNIST_QNN_eff_su2_r1_d2_s45,45,low_risk_anchor,eff_su2_r1_d2,noisy_shot,1024,10,-0.054,"[-0.071, -0.036]",0.0002399999999999,"[-0.009, 0.009]",5000
MNIST_QNN_eff_su2_r5_d2_s43,43,corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,128,10,-0.095,"[-0.109, -0.077]",0.00317,"[-0.014, 0.020]",5000
MNIST_QNN_eff_su2_r5_d2_s43,43,corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,512,10,-0.02,"[-0.036, -0.002]",0.00138,"[-0.008, 0.011]",5000
MNIST_QNN_eff_su2_r5_d2_s43,43,corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,1024,10,-0.011,"[-0.020, -0.001]",0.00027,"[-0.005, 0.007]",5000
