Structural role,Wrapper,Target seeds,Test accuracy,Accuracy gap,Loss AUC,Membership advantage,Total trainable parameters,Quantum parameters,Classical parameters,Quantum gate count
eff_control,HQNN,3,0.968 ± 0.008,0.032 ± 0.008,0.548 ± 0.010,0.112 ± 0.036,19930,46,19884,63
eff_control,MLP-QNN,3,0.783 ± 0.008,0.120 ± 0.010,0.567 ± 0.005,0.103 ± 0.018,96,0,96,0
eff_control,QCNN,3,0.832 ± 0.033,0.002 ± 0.028,0.514 ± 0.004,0.008 ± 0.047,592,394,198,67
eff_control,QNN,3,0.667 ± 0.013,0.023 ± 0.018,0.530 ± 0.029,0.048 ± 0.113,74,46,28,63
high_reupload,HQNN,3,0.822 ± 0.188,0.082 ± 0.023,0.563 ± 0.018,0.105 ± 0.028,20022,138,19884,543
high_reupload,MLP-QNN,3,0.800 ± 0.009,0.152 ± 0.040,0.592 ± 0.011,0.155 ± 0.031,188,0,188,0
high_reupload,QCNN,3,0.792 ± 0.008,0.168 ± 0.010,0.595 ± 0.005,0.230 ± 0.033,684,486,198,547
high_reupload,QNN,3,0.538 ± 0.015,0.253 ± 0.028,0.633 ± 0.020,0.190 ± 0.020,166,138,28,543
low_reupload,HQNN,3,0.742 ± 0.348,0.018 ± 0.069,0.542 ± 0.021,0.117 ± 0.091,19930,46,19884,82
low_reupload,MLP-QNN,3,0.783 ± 0.008,0.120 ± 0.010,0.567 ± 0.005,0.103 ± 0.018,96,0,96,0
low_reupload,QCNN,3,0.877 ± 0.008,0.052 ± 0.008,0.528 ± 0.014,0.035 ± 0.015,592,394,198,86
low_reupload,QNN,3,0.725 ± 0.018,0.068 ± 0.026,0.531 ± 0.019,0.017 ± 0.030,74,46,28,82
