Metric,Wrapper,Baseline,Mean difference,Paired SD,95% CI,Structural roles,Paired role/seed units,Valid bootstrap
gap_acc,HQNN,QNN,-0.0711111227671305,0.0960070959861871,"[-0.167, 0.009]",3,9,5000
test_acc,HQNN,QNN,0.2005555596616533,0.236754676231841,"[-0.021, 0.333]",3,9,5000
test_loss,HQNN,QNN,-0.4806671929028299,0.4987619385157871,"[-0.789, -0.030]",3,9,5000
auc,HQNN,QNN,-0.0135222222222222,0.0506925281791552,"[-0.068, 0.030]",3,9,5000
balanced_accuracy_crossfit,HQNN,QNN,0.0130555555555555,0.0575648788566238,"[-0.041, 0.062]",3,9,5000
membership_advantage_crossfit,HQNN,QNN,0.026111111111111,0.1151297577132476,"[-0.084, 0.124]",3,9,5000
gap_acc,MLP-QNN,QNN,0.0155555274751451,0.0983756889366065,"[-0.087, 0.096]",3,9,5000
test_acc,MLP-QNN,QNN,0.1455555624432034,0.0927511670764554,"[0.062, 0.259]",3,9,5000
test_loss,MLP-QNN,QNN,-0.18655925989151,0.206790445566917,"[-0.420, 0.017]",3,9,5000
auc,MLP-QNN,QNN,0.0105055555555555,0.043851259652264,"[-0.038, 0.045]",3,9,5000
balanced_accuracy_crossfit,MLP-QNN,QNN,0.0177777777777778,0.0378616817434783,"[-0.017, 0.048]",3,9,5000
membership_advantage_crossfit,MLP-QNN,QNN,0.0355555555555555,0.0757233634869567,"[-0.034, 0.098]",3,9,5000
gap_acc,QCNN,QNN,-0.0411111182636684,0.0416666836540027,"[-0.083, -0.007]",3,9,5000
test_acc,QCNN,QNN,0.1900000042385525,0.0517807975546739,"[0.148, 0.249]",3,9,5000
test_loss,QCNN,QNN,-0.4049887226687537,0.1120130759950592,"[-0.527, -0.311]",3,9,5000
auc,QCNN,QNN,-0.0192138888888888,0.0251488043674269,"[-0.040, -0.001]",3,9,5000
balanced_accuracy_crossfit,QCNN,QNN,0.0030555555555555,0.0389666880524606,"[-0.031, 0.026]",3,9,5000
membership_advantage_crossfit,QCNN,QNN,0.0061111111111111,0.0779333761049212,"[-0.057, 0.053]",3,9,5000
