metric,architecture,baseline,contrast,mean_difference,sd_paired_differences,ci95_low,ci95_high,n_structural_roles,n_paired_role_seed_units,valid_bootstrap_replicates,ci_method,bootstrap_unit,bootstrap_replicates
gap_acc,hqnn,qnn,hqnn minus qnn,-0.0399999999999999,5.374844106186573e-18,-0.0399999999999999,-0.0399999999999999,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
test_acc,hqnn,qnn,hqnn minus qnn,0.039999999999999925,0.0,0.039999999999999925,0.039999999999999925,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
test_loss,hqnn,qnn,hqnn minus qnn,-0.0399999999999999,0.0,-0.0399999999999999,-0.0399999999999999,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
auc,hqnn,qnn,hqnn minus qnn,-0.11666666666666668,0.10595596569644711,-0.20046296296296304,-0.045814814814814794,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
balanced_accuracy_crossfit,hqnn,qnn,hqnn minus qnn,-0.07777777777777774,0.07428673177976348,-0.10027777777777776,-0.03305555555555547,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
membership_advantage_crossfit,hqnn,qnn,hqnn minus qnn,-0.15555555555555553,0.14857346355952694,-0.20444444444444446,-0.11611111111111108,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
gap_acc,mlp_qnn,qnn,mlp_qnn minus qnn,-0.0499999999999999,5.374844106186573e-18,-0.049999999999999906,-0.0499999999999999,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
test_acc,mlp_qnn,qnn,mlp_qnn minus qnn,0.04999999999999993,0.0,0.04999999999999993,0.04999999999999993,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
test_loss,mlp_qnn,qnn,mlp_qnn minus qnn,-0.049999999999999906,0.0,-0.049999999999999906,-0.049999999999999906,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
auc,mlp_qnn,qnn,mlp_qnn minus qnn,-0.20166666666666666,0.06256552121132253,-0.2040925925925926,-0.18007407407407408,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
balanced_accuracy_crossfit,mlp_qnn,qnn,mlp_qnn minus qnn,-0.17499999999999996,0.05027701042999458,-0.18555555555555556,-0.1491666666666666,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
membership_advantage_crossfit,mlp_qnn,qnn,mlp_qnn minus qnn,-0.35000000000000003,0.10055402085998905,-0.39,-0.3227777777777777,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
gap_acc,qcnn,qnn,qcnn minus qnn,-0.029999999999999905,3.800588715305073e-18,-0.029999999999999905,-0.029999999999999902,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
test_acc,qcnn,qnn,qcnn minus qnn,0.029999999999999916,0.0,0.029999999999999916,0.029999999999999916,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
test_loss,qcnn,qnn,qcnn minus qnn,-0.02999999999999989,1.1401766145915221e-17,-0.029999999999999895,-0.029999999999999888,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
auc,qcnn,qnn,qcnn minus qnn,-0.0688888888888889,0.09165959568687551,-0.1139444444444445,-0.010333333333333307,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
balanced_accuracy_crossfit,qcnn,qnn,qcnn minus qnn,-0.06944444444444442,0.051008350805057945,-0.08944444444444444,-0.0444444444444444,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
membership_advantage_crossfit,qcnn,qnn,qcnn minus qnn,-0.13888888888888887,0.10201670161011583,-0.21222222222222223,-0.10611111111111114,2,6,5,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5
