source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_role,meta_dataset,meta_architecture,meta_fm_kind,meta_n_wires,meta_reps,meta_depth,meta_ql_ent,meta_ql_op,meta_model_seed,meta_data_seed,meta_seed,meta_structural_cell_id,meta_membership_convention,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,role,dataset,architecture,fm_kind,n_wires,reps,depth,ql_ent,ql_op,model_seed,data_seed,seed,structural_cell_id
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_hqnn_s43/target_attack_data.pt,ok,,SmokeArch_high_reupload_hqnn_s43,0.88,0.12,0.8069999999999999,0.19300000000000006,0.817,0.18300000000000005,0.06300000000000006,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_hqnn_s43,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|hqnn,0=member,130,78,52,0,80,52,28,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|hqnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_hqnn_s44/target_attack_data.pt,ok,,SmokeArch_high_reupload_hqnn_s44,0.88,0.12,0.8049999999999999,0.19500000000000006,0.815,0.18500000000000005,0.06500000000000006,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_hqnn_s44,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|hqnn,0=member,130,78,52,0,80,52,28,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|hqnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_hqnn_s45/target_attack_data.pt,ok,,SmokeArch_high_reupload_hqnn_s45,0.88,0.12,0.8029999999999999,0.19700000000000006,0.813,0.18700000000000006,0.06700000000000006,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_hqnn_s45,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|hqnn,0=member,130,78,52,0,80,52,28,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|hqnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_mlp_qnn_s43/target_attack_data.pt,ok,,SmokeArch_high_reupload_mlp_qnn_s43,0.88,0.12,0.817,0.18300000000000005,0.827,0.17300000000000004,0.05300000000000005,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_mlp_qnn_s43,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|mlp_qnn,0=member,170,102,68,0,0,0,0,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|mlp_qnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_mlp_qnn_s44/target_attack_data.pt,ok,,SmokeArch_high_reupload_mlp_qnn_s44,0.88,0.12,0.815,0.18500000000000005,0.825,0.17500000000000004,0.05500000000000005,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_mlp_qnn_s44,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|mlp_qnn,0=member,170,102,68,0,0,0,0,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|mlp_qnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_mlp_qnn_s45/target_attack_data.pt,ok,,SmokeArch_high_reupload_mlp_qnn_s45,0.88,0.12,0.813,0.18700000000000006,0.823,0.17700000000000005,0.05700000000000005,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_mlp_qnn_s45,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|mlp_qnn,0=member,170,102,68,0,0,0,0,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|mlp_qnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_qcnn_s43/target_attack_data.pt,ok,,SmokeArch_high_reupload_qcnn_s43,0.88,0.12,0.7969999999999999,0.20300000000000007,0.8069999999999999,0.19300000000000006,0.07300000000000006,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_qcnn_s43,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|qcnn,0=member,150,90,60,0,80,52,28,fixed encoder plus downstream variational circuit,False,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|qcnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_qcnn_s44/target_attack_data.pt,ok,,SmokeArch_high_reupload_qcnn_s44,0.88,0.12,0.7949999999999999,0.20500000000000007,0.8049999999999999,0.19500000000000006,0.07500000000000007,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_qcnn_s44,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|qcnn,0=member,150,90,60,0,80,52,28,fixed encoder plus downstream variational circuit,False,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|qcnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_qcnn_s45/target_attack_data.pt,ok,,SmokeArch_high_reupload_qcnn_s45,0.88,0.12,0.7929999999999999,0.20700000000000007,0.8029999999999999,0.19700000000000006,0.07700000000000007,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_qcnn_s45,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|qcnn,0=member,150,90,60,0,80,52,28,fixed encoder plus downstream variational circuit,False,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|qcnn
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_high_reupload_qnn_s43/target_attack_data.pt,ok,,SmokeArch_high_reupload_qnn_s43,0.88,0.12,0.767,0.23299999999999998,0.777,0.22299999999999998,0.10299999999999998,0=member,30,30,0.03333333333333333,SmokeArch_high_reupload_qnn_s43,architecture_control,high_reupload,MNIST,qnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|qnn,0=member,110,66,44,0,80,52,28,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,MNIST,qnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|qnn
