target_id,experiment,role,dataset,architecture,fm_kind,n_wires,reps,depth,ql_ent,ql_op,model_seed,data_seed,seed,structural_cell_id,attack_path,model_path,checkpoint_tensor_elements_total,checkpoint_tensor_elements_quantum_name,checkpoint_tensor_elements_classical_name,checkpoint_tensor_elements_unclassified_name,trainable_parameters_total,trainable_parameters_quantum,trainable_parameters_classical,trainable_parameters_unclassified,quantum_gate_count_total,quantum_one_qubit_gates,quantum_two_qubit_gates,gate_counts_json,gate_count_scope,qcnn_frontend_included,circuit_depth,parameter_count_method,gate_count_method,resource_count_source,exact_resource_counts_available,resource_error
SmokeArch_low_reupload_qnn_s43,architecture_control,low_reupload,MNIST,qnn,z,6,1,2,linear,crz,43,43,43,low_reupload|qnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qnn_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qnn_s43/target_model.pt,16,8,8,0,110,66,44,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_qnn_s44,architecture_control,low_reupload,MNIST,qnn,z,6,1,2,linear,crz,44,43,44,low_reupload|qnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qnn_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qnn_s44/target_model.pt,16,8,8,0,110,66,44,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_qnn_s45,architecture_control,low_reupload,MNIST,qnn,z,6,1,2,linear,crz,45,43,45,low_reupload|qnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qnn_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qnn_s45/target_model.pt,16,8,8,0,110,66,44,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_hqnn_s43,architecture_control,low_reupload,MNIST,hqnn,z,6,1,2,linear,crz,43,43,43,low_reupload|hqnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_hqnn_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_hqnn_s43/target_model.pt,16,8,8,0,130,78,52,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_hqnn_s44,architecture_control,low_reupload,MNIST,hqnn,z,6,1,2,linear,crz,44,43,44,low_reupload|hqnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_hqnn_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_hqnn_s44/target_model.pt,16,8,8,0,130,78,52,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_hqnn_s45,architecture_control,low_reupload,MNIST,hqnn,z,6,1,2,linear,crz,45,43,45,low_reupload|hqnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_hqnn_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_hqnn_s45/target_model.pt,16,8,8,0,130,78,52,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_qcnn_s43,architecture_control,low_reupload,MNIST,qcnn,z,6,1,2,linear,crz,43,43,43,low_reupload|qcnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qcnn_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qcnn_s43/target_model.pt,16,8,8,0,150,90,60,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,False,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_qcnn_s44,architecture_control,low_reupload,MNIST,qcnn,z,6,1,2,linear,crz,44,43,44,low_reupload|qcnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qcnn_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qcnn_s44/target_model.pt,16,8,8,0,150,90,60,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,False,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_qcnn_s45,architecture_control,low_reupload,MNIST,qcnn,z,6,1,2,linear,crz,45,43,45,low_reupload|qcnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qcnn_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_qcnn_s45/target_model.pt,16,8,8,0,150,90,60,0,60,40,20,"{""cx"": 20, ""ry"": 20, ""rz"": 20}",fixed encoder plus downstream variational circuit,False,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeArch_low_reupload_mlp_qnn_s43,architecture_control,low_reupload,MNIST,mlp_qnn,z,6,1,2,linear,crz,43,43,43,low_reupload|mlp_qnn,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_mlp_qnn_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/architecture_runs/architecture_control/SmokeArch_low_reupload_mlp_qnn_s43/target_model.pt,16,8,8,0,170,102,68,0,0,0,0,"{""cx"": 0, ""ry"": 0, ""rz"": 0}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
