target_id,experiment,role,dataset,architecture,fm_kind,n_wires,reps,depth,ql_ent,ql_op,model_seed,data_seed,seed,structural_cell_id
SmokeArch_low_reupload_qnn_s43,architecture_control,low_reupload,MNIST,qnn,z,6,1,2,linear,crz,43,43,43,low_reupload|qnn
SmokeArch_low_reupload_qnn_s44,architecture_control,low_reupload,MNIST,qnn,z,6,1,2,linear,crz,44,43,44,low_reupload|qnn
SmokeArch_low_reupload_qnn_s45,architecture_control,low_reupload,MNIST,qnn,z,6,1,2,linear,crz,45,43,45,low_reupload|qnn
SmokeArch_low_reupload_hqnn_s43,architecture_control,low_reupload,MNIST,hqnn,z,6,1,2,linear,crz,43,43,43,low_reupload|hqnn
SmokeArch_low_reupload_hqnn_s44,architecture_control,low_reupload,MNIST,hqnn,z,6,1,2,linear,crz,44,43,44,low_reupload|hqnn
SmokeArch_low_reupload_hqnn_s45,architecture_control,low_reupload,MNIST,hqnn,z,6,1,2,linear,crz,45,43,45,low_reupload|hqnn
SmokeArch_low_reupload_qcnn_s43,architecture_control,low_reupload,MNIST,qcnn,z,6,1,2,linear,crz,43,43,43,low_reupload|qcnn
SmokeArch_low_reupload_qcnn_s44,architecture_control,low_reupload,MNIST,qcnn,z,6,1,2,linear,crz,44,43,44,low_reupload|qcnn
SmokeArch_low_reupload_qcnn_s45,architecture_control,low_reupload,MNIST,qcnn,z,6,1,2,linear,crz,45,43,45,low_reupload|qcnn
SmokeArch_low_reupload_mlp_qnn_s43,architecture_control,low_reupload,MNIST,mlp_qnn,z,6,1,2,linear,crz,43,43,43,low_reupload|mlp_qnn
SmokeArch_low_reupload_mlp_qnn_s44,architecture_control,low_reupload,MNIST,mlp_qnn,z,6,1,2,linear,crz,44,43,44,low_reupload|mlp_qnn
SmokeArch_low_reupload_mlp_qnn_s45,architecture_control,low_reupload,MNIST,mlp_qnn,z,6,1,2,linear,crz,45,43,45,low_reupload|mlp_qnn
SmokeArch_high_reupload_qnn_s43,architecture_control,high_reupload,MNIST,qnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|qnn
SmokeArch_high_reupload_qnn_s44,architecture_control,high_reupload,MNIST,qnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|qnn
SmokeArch_high_reupload_qnn_s45,architecture_control,high_reupload,MNIST,qnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|qnn
SmokeArch_high_reupload_hqnn_s43,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|hqnn
SmokeArch_high_reupload_hqnn_s44,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|hqnn
SmokeArch_high_reupload_hqnn_s45,architecture_control,high_reupload,MNIST,hqnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|hqnn
SmokeArch_high_reupload_qcnn_s43,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|qcnn
SmokeArch_high_reupload_qcnn_s44,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|qcnn
SmokeArch_high_reupload_qcnn_s45,architecture_control,high_reupload,MNIST,qcnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|qcnn
SmokeArch_high_reupload_mlp_qnn_s43,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,43,43,43,high_reupload|mlp_qnn
SmokeArch_high_reupload_mlp_qnn_s44,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,44,43,44,high_reupload|mlp_qnn
SmokeArch_high_reupload_mlp_qnn_s45,architecture_control,high_reupload,MNIST,mlp_qnn,zz,6,5,2,linear,crz,45,43,45,high_reupload|mlp_qnn
