model,term,coefficient,ci95_low,ci95_high,valid_term_bootstrap_replicates,coefficient_scale,ci_method
M1_gap,numeric__generalization_gap,0.24921756929253275,0.0950458188254345,0.5451376989021365,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M1_gap,numeric__reps,-0.18539191937148367,-0.5058228652268522,-0.04362155614630862,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M1_gap,numeric__depth,-0.08513812145872844,-0.26266270518942925,-0.04326061043662252,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M1_gap,categorical__fm_kind_zz,0.16240610720182477,0.04469916100121637,0.24778110999398636,4,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M1_gap,intercept,0.6205099093620505,,,0,intercept at standardized numeric means and categorical reference levels,not bootstrapped
M2_behavior_resources,numeric__train_accuracy,-0.005510113760157191,-0.4375020072516677,-0.009273747617184212,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M2_behavior_resources,numeric__test_accuracy,-0.1405212446298553,-0.369394697622134,-0.04191726147913521,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M2_behavior_resources,numeric__reps,-0.005510113786922217,-0.43750201071982103,-0.009273747282244019,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M2_behavior_resources,numeric__depth,-0.03991080191221189,-0.37281583151378317,-0.05886993086817297,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M2_behavior_resources,numeric__log_gate_count,-0.008461484467704462,-0.049021270276560544,0.880528626396248,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M2_behavior_resources,numeric__log_parameter_count,-0.039910801475926024,-0.372815828516182,-0.05886993108000405,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M2_behavior_resources,categorical__fm_kind_zz,0.1651345495858041,-0.2930217295957536,0.38415099494122157,5,numeric predictors standardized; categorical terms are one-hot contrasts,hierarchical cluster percentile bootstrap over structural cells with target seeds nested
M2_behavior_resources,intercept,0.6191456881700613,,,0,intercept at standardized numeric means and categorical reference levels,not bootstrapped
